section,discourse,word_count,doc_len,clause_len,emotion_pos,cause_pos,true_pairs
208,5月3日我到学校找她她同学说她没去5月4日她同学给我打电话说在五星街办附近看到小文上了一个男人的车走了李师傅说后来又有同学给我打电话说看到小文和一个男的在户县一家温泉宾馆李师傅赶到那家温泉宾馆调了监控看到小文的确和一名男子开了房随后离开小文不见了妈妈为此一病不起天天躺在床上哭,138,15,"[10, 7, 4, 9, 21, 4, 12, 18, 11, 4, 14, 4, 5, 8, 7]",[15],[[13]],"[[15, 13]]"
209,5月5日李师傅手机接到一个陌生号码发来的短信内容是我好着过几天就回去了我借的手机别给这手机打电话李师傅不停发短信打电话后来陆续接到女儿的回信基本都是劝父亲不要再发短信了并说她一切都好有一次电话打通了没人说话但听到有好多人在哭还听一个男的说这5个女娃就交给你了随后电话被挂断从那以后李师傅更加焦虑担心女儿被人控制,155,18,"[4, 18, 6, 7, 5, 8, 11, 11, 14, 7, 8, 4, 9, 17, 7, 4, 7, 8]",[17],[[18]],"[[17, 18]]"
210,这个病非常危险化疗已经无法治愈只能进行骨髓移植手术否则孩子就只剩下3到6个月了父亲再次哽咽了我们询问了得花多少钱医生让我们先准备100万到150万这么高的费用让一家人一筹莫展我和她妈妈都是小学老师就这一个孩子一直想给她最好的虽然学美术很贵但我们还是供其实孩子没得病的时候家里还有2万多存款本想着孩子报到的钱够了我们月月还有工资生活不成问题父亲说这高额的医药费家里人太发愁了雨晴有时候会跟爸爸妈妈说我们别治了孩子也是担心医疗费太高了每次听见她这么说我心里难受,228,27,"[7, 8, 10, 14, 7, 10, 17, 6, 8, 11, 6, 8, 7, 6, 10, 9, 11, 8, 6, 3, 7, 7, 12, 5, 12, 8, 5]",[27],[[26]],"[[27, 26]]"
211,回到监室后陈兰在看守所最后一天半的时间里她表现很平静一如平时监室里的其他号友都为她帮忙有的帮她把晾晒的衣服收拾整齐有的把饭菜端来大家还专门为她准备了一套新衣服虽然陈兰没有感激的言语但眼神中透出对号友的感激和不舍当晚她一直没睡而是在写遗书她边写边哭从晚上八点钟写到次日凌晨三四点钟花了七个多小时满满写了十几页纸她知道就要被执行死刑内心很痛苦但表面却装作很淡然,178,18,"[5, 15, 6, 4, 27, 7, 15, 11, 15, 2, 11, 5, 16, 7, 8, 10, 5, 9]",[17],[[16]],"[[17, 16]]"
212,6月6日黄某出差到江门市新会区需半个月才能回广州她将这个消息在网上告诉了钟小枫6月9日钟小枫联系黄某称出差到香港打算购买黄金项链钻石戒指等物品准备向黄某求婚黄某兴奋不已,84,10,"[4, 11, 9, 15, 4, 7, 6, 15, 7, 6]",[10],[[9]],"[[10, 9]]"
213,扶个老人真的是土豪才能做的好事吗南京彭宇案后多起扶老被讹案令不少路人遇事心寒选择避走然而扶老就一定会被讹吗未必此前有河源市三名法官勇扶雨中摔倒的八旬老太最近有东莞小伙撞人肇事被判赔28万多元事实证明老人一口咬定的不一定能定赔抱侥幸心态抵赖的也推脱不掉责任,127,10,"[16, 26, 2, 9, 2, 21, 19, 4, 13, 15]",[2],[[2]],"[[2, 2]]"
214,6月10日吴某手缠纱布回家说她把1万元钱给了前女友但还是被对方扎伤了左手并说她的前女友又索要1.5万元否则就要剁吴某的手孙女士打算报警却被吴某阻止并以分手相要挟孙女士无奈之下答应再给吴某1.5万元但很快孙女士发现自己被骗了原来吴某将索要的钱都用于赌球了并输得精光手缠纱布也是装的,139,13,"[5, 8, 12, 11, 15, 9, 20, 18, 3, 10, 15, 5, 8]",[8],[[7]],"[[8, 7]]"
215,报道称这起事件发生在本月12日这只小狗冒着近38摄氏度的高温在主人的尸体旁守候了好几个小时虽然附近就有水源和遮挡阳光的地方但小狗一直寸步不离在被动物管理部门人员带走时这只小狗不断挣扎只想返回主人身边其主人系自然死亡据信是一名流浪汉小狗在抵达收容中心后极度哀伤拒绝进食及饮水也不发出任何声响甚至不愿意抬头,151,15,"[3, 12, 15, 15, 16, 9, 13, 8, 8, 8, 8, 14, 7, 8, 7]",[12],[[10]],"[[12, 10]]"
216,2014年1月24日吴某应小梅之约在衢州市衢江区樟潭街道一家宾馆见面两人再次发生有偿性关系其后小梅提出要与吴某断绝关系吴某不肯两人发生争执小梅对吴某表现出厌恶并称要叫人来吴某见小梅不念旧情每次约会都要用钱维系关系一怒之下吴某用双手用力掐小梅的脖子直至小梅死亡,129,13,"[10, 24, 11, 2, 12, 4, 6, 10, 6, 9, 12, 17, 6]",[8],[[7]],"[[8, 7]]"
217,2014年1月24日吴某应小梅之约在衢州市衢江区樟潭街道一家宾馆见面两人再次发生有偿性关系其后小梅提出要与吴某断绝关系吴某不肯两人发生争执小梅对吴某表现出厌恶并称要叫人来吴某见小梅不念旧情每次约会都要用钱维系关系一怒之下吴某用双手用力掐小梅的脖子直至小梅死亡,129,12,"[10, 24, 11, 2, 12, 4, 6, 10, 6, 21, 17, 6]",[11],[[10]],"[[11, 10]]"
218,他只好向妻子提出离婚一直被蒙在鼓里的妻子犹如晴天霹雳气得大哭一场虽然一万个不愿意但看到丈夫情义已绝只好签了字李渡自感违心净身出户谎言连篇的情人不辞而别李渡离婚后几次向美奇提出结婚美奇却一点儿也不着急美奇之前住在妹妹的出租屋李渡提出再租一套房子住美奇说住宾馆吃饭店这多方便啊,136,16,"[10, 10, 6, 6, 8, 9, 5, 6, 4, 25, 10, 12, 11, 6, 3, 5]",[4],"[[1, 2]]","[[4, 1], [4, 2]]"
219,东屋的土炕上12岁的陈诒婷正哄着10岁的智障妹妹玩耍看到好心人进屋小诒婷热情地和大家打招呼妹妹看到家里来了这么多人急忙缩到姐姐的身后但身体还是禁不住地左右摇晃着小诒婷轻声安慰着妹妹妹妹从小就这样就爱摇晃身体怎么说她也停不下来小诒婷告诉记者西屋是小诒婷和妹妹的卧室好心人都被眼前的一幕惊呆了———两个小姑娘睡觉的床铺是砖块支撑替换下来的旧门板垒起来的,174,14,"[6, 20, 7, 12, 12, 9, 14, 10, 7, 6, 9, 7, 12, 43]",[14],[[14]],"[[14, 14]]"
220,警方消息显示华裔女子在被捕后向警方表示她是因为和孩子的父亲吵架在一怒之下才选择将婴儿丢在超市里而超市内的工作人员也表示在先前多次看到女子手持孩子父亲的照片寻人但多次未果因为气愤选择将自己孩童遗留在公共场合以泄恨一举华裔律师权立宏表示根据规定不论是亲生父母或监护人只要将14岁以下的孩童单独遗留并且有遗弃意图者警方皆有权将其逮捕若罪名成立可构成E级刑事案件,177,13,"[6, 25, 16, 37, 23, 9, 4, 11, 15, 8, 9, 5, 9]",[5],[[4]],"[[5, 4]]"
221,徐先生的妻子35岁左右漂亮又性感夫妻俩结婚虽然有七八年了儿子都6岁了但夫妻俩感情一直不错老公一门心思看世界杯妻子自然心里不高兴了但也没办法看完球后他叫醒妻子不料太激动了周一凌晨3点多荷兰队2∶1赢了墨西哥队挺近8世界杯八强作为荷兰队的铁杆球迷徐先生激动坏了回到房间看看妻子熟睡的脸他突然意识到最近太冷落妻子了有些过意不去,160,18,"[11, 5, 12, 6, 10, 10, 10, 5, 9, 13, 12, 8, 10, 7, 4, 8, 14, 6]","[7, 18]","[[6], [17]]","[[7, 6], [18, 17]]"
223,25日中午神经外科医师解释病患器官出现衰竭当天家属做出器捐决定长庚医院器捐小组评估发现大雄心肺功能良好26日共摘除心肝肾眼角膜血管骨骼等器官大雄明天即将公祭器捐消息传出美浓亲友感慨年轻生命早逝却也敬佩大雄家人发挥大爱美浓区长谢鹤琳说听里长谈起这件事刘家父母能够打破传统观念真的很不容易非常伟大,146,13,"[5, 16, 10, 20, 19, 8, 6, 12, 12, 8, 8, 18, 4]",[9],[[3]],"[[9, 3]]"
224,29日下午多名市民向本报反映有名女子站在电塔上摇摇欲坠周围村民和路人焦急万分大家都为她的安全捏一把汗民警和消防队员赶到现场时那名女子已经爬到高压电塔的顶端一位消防队员慢慢爬到离她近10米的地方安抚她的情绪与此同时民警通知电力部门和救护车赶来协助为保障攀塔女子和救援人员的安全电力部门决定临时断电到晚上8时许营救结束后才恢复供电,163,14,"[5, 9, 13, 11, 12, 12, 15, 19, 6, 4, 16, 15, 10, 16]",[4],[[3]],"[[4, 3]]"
225,胡加法没什么文化性格很倔强日常生活中他有点大男子主义向来说一不二导致与家人关系不是很融洽胡加法感到苦恼儿子不听话妻子也三天两头外出不回家生命中最重要的人与自己一点也不亲近他产生了悲观厌世的情绪胡加法性格偏激他所做的决定也超出了常理用他的话说我就是自杀也不能便宜了老婆孩子,135,14,"[8, 5, 13, 6, 12, 7, 5, 12, 17, 11, 7, 12, 10, 10]",[6],[[5]],"[[6, 5]]"
226,虽然房车旅游条件艰苦但充满着快乐不过陈录雪也遇到过闹心的时候尽管车上贴着百岁母亲游全国但仍有一次被偷了让他伤心地哭了一场房车开到哪个城市一家人就在哪儿停留一段时间一边旅游一边打零工,90,10,"[10, 6, 2, 12, 13, 8, 9, 8, 13, 9]",[7],[[6]],"[[7, 6]]"
227,从2006年到现在8年的时间余中秀老人去了北京8次福建陕西广东只剩下新疆和西藏没去过陈录雪说妈妈的精神身体状态越来越好以前妈妈晕车一坐车就恶心现在高速公路也好乡间小路也好甚至是山路她都很难晕车了以前妈妈几乎每个星期都有一次打针输液而现在车里备了药箱她却难得吃上一颗最近在医院的体检中她身体的各项指标都正常陈录雪说最令我惊讶的是妈妈以前一头白发像个头套现在慢慢竟有了几丝黑发,186,23,"[9, 5, 11, 6, 11, 17, 6, 6, 2, 6, 6, 5, 7, 18, 3, 6, 8, 9, 11, 4, 7, 12, 11]",[21],[[23]],"[[21, 23]]"
228,刘某是崇阳人与梁某结婚多年可是今年以来刘某发现梁某经常用手机联系其朋友黄某而且每次通话都遮遮掩掩为了一查究竟当日上午8时刘某事先查清黄某的住址后乘车到黄某家打探情况谁知恰好梁某就在黄某的住处这一下激怒了刘某将黄某家窗户玻璃打烂并与黄某扭打起来扭打过程中刘某用口使劲咬住黄某的左耳直到鲜血直流,145,17,"[6, 7, 6, 18, 11, 6, 6, 12, 10, 2, 11, 8, 10, 8, 5, 13, 6]",[12],[[11]],"[[12, 11]]"
229,两人都30多岁未婚双方亲友都很着急经媒人介绍相约一起吃饭午饭时间男方女方各来两人加媒人一共5人可一顿饭下来双方都没看上另外一方本来这也没什么但买单时问题来了男方提出既然都没看对眼那就应该AA付款一听这话女方顿时就火了说自己以前相亲不论看没看对眼从没人让女方出过钱,131,19,"[7, 2, 8, 5, 6, 4, 8, 7, 6, 10, 7, 8, 11, 8, 4, 7, 7, 7, 9]",[16],[[15]],"[[16, 15]]"
230,据台湾联合报报道彰化县陈姓男子疑似怀疑妻子有外遇昨天20日砍妻子100多刀致死后晚间在台中都会公园旁上吊身亡留下三名子女抱头痛哭友人说陈很可能是太爱老婆才会这样让人唏嘘,84,8,"[8, 16, 16, 14, 10, 3, 13, 4]",[5],[[4]],"[[5, 4]]"
231,陈姓男子47岁的姐姐昨天中午向警方报案说弟弟打电话要她去接小孩并说我杀死妻子我想去死家人很震惊和警方赶到现场发现陈妻40岁倒卧一楼房间床上血泊中已气绝身亡北斗警分局侦查队长钟振邦表示陈妻脖子被橡皮束带勒着头部被菜刀砍了50多刀双手和腹部被砍了70多刀陈嫌抓狂砍杀死妻子后把凶刀放在床头柜上逃逸无踪,148,14,"[20, 11, 11, 5, 7, 18, 5, 14, 11, 11, 12, 10, 9, 4]",[4],[[3]],"[[4, 3]]"
232,陈和妻子育有二男一女18岁的大儿子在台中工作得知母亲被父亲杀死情绪相当激动看到分别就读小二高二的弟弟和妹妹三人抱头痛哭社工员见状都红了眼警方怕陈姓男子寻短根据陈手机的发话位置从彰化县一路追查到台中市西屯区的都会公园傍晚在都会园路旁找到陈骑的摩托车随后在距离机车两百公尺外产业道路发现陈上吊身亡未发现遗书,151,14,"[10, 12, 9, 6, 16, 6, 9, 9, 10, 20, 16, 16, 7, 5]",[4],[[3]],"[[4, 3]]"
233,扬州市江都区志愿者高雁前段时间体检时被查出癌症多年来为帮助别人倾其所有的她决定身故后捐出遗体最后一次献爱心令人高兴的是高雁去南京的大医院复查时被确诊为癌症早期治疗后不会有生命危险,89,9,"[11, 12, 14, 9, 7, 6, 12, 8, 10]",[6],[[9]],"[[6, 9]]"
234,高雁告诉记者自己15岁外出打工因一起机器故障导致右手4级伤残受伤后身边的人对自己特别关心就像亲人一样自己心中的感恩情结更重了18岁那年她到上海打工一天夜里钱包被盗就在她哭泣着流浪街头的时候一位路人递给她50元钱她激动得磕头作谢想将来有机会一定像这个热心人一样回报社会,133,18,"[6, 9, 7, 8, 3, 11, 6, 12, 5, 6, 4, 4, 13, 11, 8, 6, 10, 4]",[15],[[14]],"[[15, 14]]"
235,说起6月11日下午5点半发生的事徐连林至今还有些心有余悸如果不是几位好心乘客专程陪他去了趟派出所他感觉自己真要摊上大事了徐连林告诉记者当天他驾车行驶至朝天宫站停车上下客期间他听到两位女乘客交流称有位老太趴在路边没人扶徐连林回头一看发现一位老太确实趴在路边两腿还不停地蹬来蹬去的但就是爬不起来徐连林没多想立刻拉上手刹邀请一位坐在前排的乘客和他一起下车扶老人起来,179,15,"[16, 12, 20, 12, 7, 12, 7, 11, 11, 7, 12, 11, 7, 6, 28]",[2],[[1]],"[[2, 1]]"
236,徐连林说他和那位男乘客合力将老太扶了起来并帮助她坐在路边休息随后两人上了车没想到徐连林刚准备发动汽车离开车站那位被扶起的老太以迅雷不及掩耳之势跑到了公交车前一屁股坐在了地上站在公交车前部的乘客都将这一幕看得一清二楚看到这一幕车上的乘客立刻炸开了锅激烈争论起来其中一部分乘客很气愤一边数落徐连林不该多事一边给他上课我叫你们别去管这事吧,166,13,"[4, 16, 10, 7, 3, 14, 32, 21, 5, 11, 6, 10, 27]",[12],[[7]],"[[12, 7]]"
237,让徐连林没想到的是有七八位乘客竟然留了下来他们都坐在车上生怕老太讹上司机说要等警察来了一起去派出所作证我车头的监控是坏的我当时心里紧张得一塌糊涂看到有这么多乘客愿意留下来帮我作证当时激动得都忘了说谢谢了徐连林如是说,107,11,"[9, 12, 7, 8, 7, 8, 9, 12, 17, 12, 6]","[8, 10]","[[7], [9]]","[[8, 7], [10, 9]]"
239,徐连林说听了警察的那句话他当时非常振奋等徐连林走出问询室的时候七八位乘客已走了大半那些人他都没留下联系方式耽误人家两个多小时最后连句谢谢都没来得及说我蛮不好意思的徐连林说当天的事起初让他觉得很窝囊可后来发生的改变让他又恢复了信心他觉得只要做好事还是会有好报的这个世界上还是好人多,139,13,"[4, 15, 12, 10, 12, 9, 12, 7, 4, 13, 16, 8, 17]",[2],[[2]],"[[2, 2]]"
240,徐连林说当天的事起初让他觉得很窝囊可后来发生的改变让他又恢复了信心他觉得只要做好事还是会有好报的这个世界上还是好人多扬子晚报记者从83路车队了解到车队领导知道了徐连林的事迹后也非常感动目前车队已将这件事上报给了总部他们有信心给徐连林申报嘉奖,120,9,"[4, 13, 16, 8, 17, 15, 19, 15, 13]",[7],[[7]],"[[7, 7]]"
241,今年4月曹某到小孟宿舍玩俩人在宿舍内发生了关系5月底小孟发现自己月经迟迟未到她自己用测孕纸检验发现自己怀孕了我没想到会怀孕有些害怕赶紧就跟他说了这事原本以为曹某能尽快赶到自己身边一起想办法没想到曹某知道这件事之后手机就一直处于关机状态,117,12,"[4, 8, 11, 15, 9, 7, 7, 4, 9, 20, 12, 11]",[8],[[7]],"[[8, 7]]"
242,何先生诉称他和吴女士2010年结婚后一直没有孩子他和父母十分着急但到医院检查两人身体均正常去年初才得知吴女士长期偷偷服用避孕药两人为此争吵不断去年7月吴女士离家出走后未回经家人多次劝解双方感情均无缓和故起诉要求离婚双方共同财产平均分割,117,12,"[5, 19, 8, 13, 3, 15, 8, 4, 10, 15, 7, 10]",[3],[[2]],"[[3, 2]]"
243,2013年8月20日二人约好打算次日回湖南办理离婚手续小美说当日下午4时许她听到大雄在电话中和朋友说想离婚后再娶感觉十分气愤便从菜市场买了一瓶农药回家准备自杀晚上10时许一名老乡来到店里问起小美的情况大雄抱怨小美不好她听到后感到既难受又生气,120,13,"[10, 4, 13, 3, 7, 19, 6, 13, 4, 6, 15, 8, 12]","[7, 13]","[[6], [12]]","[[7, 6], [13, 12]]"
245,66岁还跳入江水救人真是令人敬佩愿老人平安无事网友边关云为陈福元老人的义举点赞网友不过忧欢也在担心着老人的安危希望老人也早已被人救出希望奇迹发生许多网友还自发在网上点燃蜡烛为老人祈福,91,8,"[16, 7, 16, 16, 11, 6, 14, 5]",[1],[[1]],"[[1, 1]]"
246,今年43岁艾尼·库尔班是一位护林员从小家境贫寒父亲在他6个月的时候患病离世母亲带着他们五个兄弟相依为命他回忆2003年3月5日早晨6点左右妻子出门扫马路时发现路边放着一个小筐里面用花布包着一个小孩旁边还留一张纸条看到这个可怜的小生命妻子小心的将孩子抱回了家里和我商量我看到孩子冻得脸色发紫赶紧用被子把孩子裹起来怕凉着从此这个孩子就成了我们家的一员我们很高兴,178,18,"[11, 6, 6, 14, 14, 18, 8, 10, 11, 8, 10, 13, 4, 11, 11, 3, 15, 5]",[18],[[17]],"[[18, 17]]"
247,事发昨天凌晨3时28分翠乐楼传出堕物巨响低层单位一名50岁姓陈男住客凭窗下望查看惊见一名赤足女子躺卧1楼石屎檐篷相信有人堕楼大惊连忙报警救护员感到证实堕楼女子已明显死亡警方事后上楼调查在大厦22楼梯间发现一对拖鞋及一封遗书内容大意透露犯过错事觉得后悔警方调查后认为事件无可疑,137,13,"[11, 9, 20, 16, 6, 6, 5, 11, 8, 19, 10, 4, 12]",[12],[[11]],"[[12, 11]]"
248,谈话间何某激怒了脾气暴躁的妻子二人越吵越凶最终升级到了动手的地步暴怒的妻子用随身带的手包不断击打何某何某条件反射不停挡着妻子的轮番袭击不料何某的衣袖挂绊到了档位上的排挡杆车子挂上挡位本来就发动开着空调的车子突然猛冲出去直接冲向了马路对面停在车位上的奔驰越野车和别克车何某和妻子都懵了何某情急下猛踩刹车由于醉酒和惊慌竟踩在了油门上越野车更像脱缰的野马冲撞上去只听哐当哐当两声巨响与对面的奔驰别克来了个亲密接触在巨大撞击力作用下长城车前排气囊全部弹出何某夫妻被弹出的安全气囊强大的冲击力弹伤了脖子和脸面让人意想不到的是此时夫妻二人继续争吵指责因对方才出了事故何某情绪激动不已下车称要去跳江妻子赶紧追了上去吵骂着要死一起死这才出现事故现场无人的情况,321,29,"[3, 12, 6, 11, 18, 17, 2, 16, 6, 18, 24, 8, 9, 14, 14, 4, 2, 4, 15, 9, 11, 26, 8, 20, 8, 7, 8, 8, 13]",[25],[[24]],"[[25, 24]]"
249,温州乐清清江镇上埠头村的周雪彩和她的女儿分离了23年这么多年来周雪彩一直牵挂着女儿每年都在寻找她近日在好心人的帮助下周雪彩母女终于见面了母女相见那一刻两人都激动得泪如雨下令周雪彩想不到的是今年27岁的女儿至今仍是黑户,108,12,"[15, 11, 5, 10, 7, 2, 8, 10, 7, 10, 9, 14]",[10],[[9]],"[[10, 9]]"
250,几经周折在好心人的帮助下今年3月份周雪彩终于和丹丹通上了电话并首次在视频里见面那天晚上在侄子家的电脑前周雪彩通过视频看到魂牵梦萦的女儿激动得话未讲泪先流,76,10,"[4, 8, 5, 13, 9, 4, 8, 7, 9, 9]",[10],[[9]],"[[10, 9]]"
251,丹丹说她一直以为自己父母早亡那天她听说妈妈在找她也感到非常震惊我很渴望母爱遇到不开心的事多想有妈妈可以倾诉遇到困难多想有妈妈帮我出主意丹丹说她小时候离开父亲家后去过三个地方每到一个地方她都哭闹着要离开直到8岁那年被送到一座尼姑庵生活了近10年,121,16,"[3, 11, 2, 8, 7, 6, 7, 9, 4, 10, 3, 10, 6, 14, 14, 7]",[5],[[4]],"[[5, 4]]"
252,80多岁的老母亲看见儿子每天这么劳累疼在心里也帮不上忙晚上尤其是冬天王廷云始终穿着衣服睡觉他们屋里的灯夜里从来没灭过4年来王廷云没睡过一个囫囵觉张勤英卧床这么久从未长过一次褥疮也从未感冒或者感染我不管她谁管搁谁都会这样她没病时家里家外也是一把好手特别热情也是个热心人王廷云说,137,17,"[18, 4, 5, 2, 5, 11, 13, 3, 11, 8, 8, 9, 12, 14, 4, 6, 4]",[2],[[1]],"[[2, 1]]"
253,廷云好吗铜冶镇政府负责宣传的工作人员刘日平已经来王家两次了听到刘日平的提问张勤英点了点头再问张勤英再点点头王廷云欣慰地说她心里清楚要是看到轻易看不到的老熟人她还会激动得直哭她就像个小孩一样王廷云一会儿就要重复下这句话说这句话时他看起来特别幸福,121,13,"[4, 25, 8, 7, 2, 7, 12, 13, 8, 8, 14, 5, 8]",[9],[[8]],"[[9, 8]]"
254,30岁那年他觉得不行得系统地去学学怎么画画他重新回到学校进修大学课程和不同的艺术家一起向他们学习34岁开始Vincent在丹麦和法国举办了一系列大型画展他的作品颜色鲜艳用料独特创意非凡令人惊讶有次在展览中就有人半夜把他一幅作品偷了,115,14,"[5, 5, 11, 7, 6, 9, 5, 5, 23, 4, 12, 4, 6, 13]",[12],[[10]],"[[12, 10]]"
255,爱心人士毕女士说作为单亲妈妈我一个人带着孩子特别能体会到王志华的感受我觉得他也挺不容易的同为父母也想让王可然过一个快乐的六一王志华说女儿现在看上去比在家里面精神状况好多了没有想到这么多爱心人士会为女儿庆祝六一我真的非常激动也非常感谢他们,118,12,"[8, 6, 8, 12, 10, 4, 14, 4, 19, 19, 7, 7]",[11],[[10]],"[[11, 10]]"
256,邻里夸他是好丈夫妻子因长期生病头脑有些不清白常常为一点小事跟肖恒章发脾气有时还乱打110报警肖恒章都耐心劝导妻子还对前来出警的民警笑脸解释怕妻子太闷只要天气好每隔两三天肖恒章就会推着她到贺龙体育馆转转夫妻俩一边走一边聊从家里到体育馆的这条路一走就是好些年我没有能力让她去更远的地方看看至少在家门口能够给她留下一些美好的回忆肖恒章说27年不离不弃照顾瘫痪妻子的事迹感动着身边的每一位居民提起肖恒章邻里们都交口称赞真是难得的好丈夫,213,19,"[22, 14, 10, 10, 13, 5, 5, 5, 16, 9, 18, 15, 19, 4, 16, 11, 5, 8, 8]",[16],[[15]],"[[16, 15]]"
257,清晨从外面上完网回到家发现妈妈和一名陌生男子衣衫不整地在卧室里少年怒火中烧持水果刀狂追夺路而逃的陌生男子将刀架在对方脖子上,61,5,"[11, 20, 6, 15, 9]",[3],[[2]],"[[3, 2]]"
258,上岸后民警买来了饼干半小时后小女孩才停止了哭泣但她的一句话让民警印象深刻我爸爸不要我了第一个赶到派出所的是王玲和其丈夫的共同朋友严宽他对王玲抱着女儿沉江的举动表示震惊我知道他们夫妻感情不和但没想到她会这么想不开,105,10,"[3, 7, 4, 9, 13, 7, 23, 17, 11, 11]",[8],[[8]],"[[8, 8]]"
259,了解情况后吴澎联合列车长以及其他工作人员迅速以查验车票的形式进行排查按照其亲属提供的外貌信息最终找到罗某经过乘警及列车工作人员的悉心劝导罗某得知其亲属竟搭乘飞机早一步在南昌等候时心中后悔不已昨日早上7时许列车到达南昌站乘警将女孩罗某交由前来接车的亲属接走,127,11,"[5, 15, 14, 12, 6, 16, 21, 6, 7, 7, 18]",[8],[[7]],"[[8, 7]]"
260,姐给介绍了个对象第一次见面正在大坝底下发电站出水口那洗脚一个三四岁男孩掉水里孩子他妈不停地求救跟前五六个小伙都怕水深我扑下去把娃救了出来现在回家换衣服把对象扔那儿了唉郁闷,85,11,"[8, 5, 15, 10, 9, 11, 10, 7, 7, 1, 2]",[11],[[9]],"[[11, 9]]"
261,收拾柜子时发现了父亲已尘封50多年的百余幅画儿子泪如雨下愧疚自己对父亲了解太少这几天他给父亲在微信上办了一场特别的画展,59,6,"[5, 17, 6, 11, 3, 17]",[4],[[4]],"[[4, 4]]"
262,今天大姐二姐在父母家打扫卫生竟发现了一大叠父亲的画小心地把画一张张展开我震撼了有钢笔画铅笔画和大量水彩画从画作的时间看基本是上世纪50年代末60年代初所画当我把画铺开后我哭了当时还没有我在这一段生活最艰苦的时期父亲竟有如此之追求短短两三年画作数量如此之多我实在无法控制泪水止不住地流淌随后李东凯在朋友圈发出借朋友圈宝地替父亲办画展然后陆续发出15组父亲的画作朋友们都惊讶画作水平之精湛,192,20,"[14, 11, 10, 4, 13, 7, 18, 7, 3, 6, 12, 9, 13, 7, 8, 2, 21, 2, 12, 13]",[20],[[20]],"[[20, 20]]"
263,看到这些画我特别激动把画摆了满满一地边摆边流泪我很愧疚我对老爸了解太少了我是1965年出生的我找不到1965年之后的画我想父亲一定是因为有了我工作生活压力太大才被迫放下画笔李东凯动情地说如果父亲坚持画下去说不定会有一定成就还有一张我二姐小时候的肖像画看得人直想哭,131,15,"[10, 8, 5, 4, 9, 10, 13, 12, 8, 7, 7, 9, 9, 14, 6]","[1, 4]","[[1], [5]]","[[1, 1], [4, 5]]"
265,儿子贪玩狼爸拿竹条打死他案情永川的李某离婚后带着儿子小鹏化名来到主城打工平时李某一家靠制作销售豆腐豆芽菜维持生计对儿子缺少管护贪玩的小鹏让李某很头痛1999年10月15日晚小鹏放学后一直没回家李某就到儿子就读的学校附近寻找当晚8时许李某找到儿子回家后为教训儿子李某把小鹏捆绑在屋外院坝猪圈横梁上用竹条长时间持续抽打儿子下腹部背臀部等处当晚10时许小鹏死亡,177,17,"[22, 14, 2, 18, 7, 11, 12, 10, 15, 5, 6, 3, 5, 17, 20, 6, 4]",[6],[[6]],"[[6, 6]]"
266,通过努力王高兴与几位志同道合的朋友在今年2月成立了这家摄影工作室随着顾客的订单越来越多虽然经常熬夜修片但王高兴却乐在其中可这份快乐始终蒙着一层担忧父母还不知道她辞职的事而她也不知道该怎样向父母开口尤其是对母亲,104,10,"[4, 13, 15, 11, 8, 9, 13, 11, 14, 6]","[6, 7]","[[4], [8]]","[[6, 4], [7, 8]]"
268,听说能回家赵鹏激动得整夜未眠昨日上午省肿瘤医院5号楼5楼30床病房时而欢声笑语时而言语哽咽一名患有可再生障碍性贫血的患者即将出院为了这一天一名父亲坚持了12年现场没有仪式办理完出院手续父子俩各拎一两个包普普通通但凡见证过这段经历的看到这一场景无不动容感慨万千,129,15,"[5, 13, 15, 6, 6, 19, 5, 10, 6, 7, 9, 4, 10, 10, 4]","[14, 2]","[[14], [1]]","[[14, 14], [2, 1]]"
270,小孙子被开水烫伤着急回家的张大妈不慎将挎包遗落在出租车上出租车司机发现老人遗落的挎包后在小区门口等了半个多小时直到张大妈出来张大妈今年62岁家住省会裕华路与苑东街交叉口附近某小区一说起昨日上午她遇到的事老人的言语中充满了感动,112,9,"[8, 20, 15, 12, 7, 8, 19, 12, 11]","[2, 9]","[[1], [8]]","[[2, 1], [9, 8]]"
272,看到包里的现金等物品一点没少张大妈十分激动握着刘师傅的手连连道谢这大热天的让你在这儿等了半个小时太谢谢啦刘师傅则表示这是自己应该做的想到因为自己的事情耽误了刘师傅的生意张大妈当场拿出100元钱塞给对方但被刘师傅婉拒了,108,11,"[14, 7, 11, 5, 11, 4, 6, 8, 18, 16, 8]",[2],[[1]],"[[2, 1]]"
273,2009年春节前夕龙婆婆再次拨通儿子电话希望他能回家过年儿子也同意了当时我和我老伴高兴坏了立马打电话给两个女儿嘱咐她们那天一定要早点回家龙婆婆说那天早上五点老两口就起床煲汤忙碌了一早上后终于等到了多年不见的儿子但让两人失望的是儿媳和孙女并没有一起回家儿子也只坐了几分钟,134,15,"[9, 11, 8, 6, 11, 10, 13, 4, 6, 8, 7, 12, 8, 12, 9]","[5, 13]","[[4], [14]]","[[5, 4], [13, 14]]"
