section,emo_clause_index,cau_candidate_index,emotion_clause,cause_candidate,correctness
42,5,9,真的是皆大欢喜,自己的父亲今年已经65岁高龄了,false
42,5,10,真的是皆大欢喜,一直心心念念牵挂着爷爷的去向,false
42,5,11,真的是皆大欢喜,总是让自己去打听,false
42,5,12,真的是皆大欢喜,见到本报刊发的为烈士找寻亲人的报道,false
42,5,13,真的是皆大欢喜,自己和父亲都激动不已,false
42,13,1,自己和父亲都激动不已,中国人自古有落叶归根的传统,false
42,13,2,自己和父亲都激动不已,63年来,false
42,13,3,自己和父亲都激动不已,我日夜都想有朝一日能找到父亲的安葬地,false
42,13,4,自己和父亲都激动不已,如果能和父亲团聚,false
42,13,5,自己和父亲都激动不已,真的是皆大欢喜,false
42,13,6,自己和父亲都激动不已,同时,false
42,13,7,自己和父亲都激动不已,记者与周玉玺烈士的孙女周女士取得了联系,false
42,13,8,自己和父亲都激动不已,周女士说,false
42,13,9,自己和父亲都激动不已,自己的父亲今年已经65岁高龄了,false
42,13,10,自己和父亲都激动不已,一直心心念念牵挂着爷爷的去向,false
42,13,11,自己和父亲都激动不已,总是让自己去打听,false
42,13,12,自己和父亲都激动不已,见到本报刊发的为烈士找寻亲人的报道,true
42,13,13,自己和父亲都激动不已,自己和父亲都激动不已,false
44,5,1,真是太幸运了,记者16日从第三军医大学新桥医院获悉,false
44,5,2,真是太幸运了,尿毒症患者程霞冒死产下一名5斤重健康男婴,false
44,5,3,真是太幸运了,我这条命都是妈妈给的,false
44,5,4,真是太幸运了,现在我也有了宝宝,true
44,5,5,真是太幸运了,真是太幸运了,false
44,5,6,真是太幸运了,还要感谢所有帮助过我的人,false
44,5,7,真是太幸运了,还躺在病床上的程霞,false
44,5,8,真是太幸运了,以微弱的声音说到,false
44,6,1,还要感谢所有帮助过我的人,记者16日从第三军医大学新桥医院获悉,false
44,6,2,还要感谢所有帮助过我的人,尿毒症患者程霞冒死产下一名5斤重健康男婴,false
44,6,3,还要感谢所有帮助过我的人,我这条命都是妈妈给的,false
44,6,4,还要感谢所有帮助过我的人,现在我也有了宝宝,false
44,6,5,还要感谢所有帮助过我的人,真是太幸运了,false
44,6,6,还要感谢所有帮助过我的人,还要感谢所有帮助过我的人,true
44,6,7,还要感谢所有帮助过我的人,还躺在病床上的程霞,false
44,6,8,还要感谢所有帮助过我的人,以微弱的声音说到,false
46,12,1,她气到想勒死他,据台湾中央社16日报道,false
46,12,2,她气到想勒死他,日本男性2月14日情人节通常会收到巧克力和其他礼物,false
46,12,3,她气到想勒死他,而他们3月14日白色情人节当天必须回送礼物给另一半,false
46,12,4,她气到想勒死他,西山美惠31岁的丈夫一脚将她踢开后,false
46,12,5,她气到想勒死他,她疑似企图用领带掐死他,false
46,12,6,她气到想勒死他,老公午夜时分打电话报警,false
46,12,7,她气到想勒死他,西山美惠随后在日本西部堺市家中被捕,false
46,12,8,她气到想勒死他,并向警方表示,false
46,12,9,她气到想勒死他,她怀疑老公有外遇,false
46,12,10,她气到想勒死他,西山告诉警方,false
46,12,11,她气到想勒死他,老公情人节没有回送礼物,true
46,12,12,她气到想勒死他,她气到想勒死他,false
47,4,1,我和她妈着急啊,闺女是高中教师,false
47,4,2,我和她妈着急啊,现在带着高三毕业班,false
47,4,3,我和她妈着急啊,工作忙也顾不上自己的事,true
47,4,4,我和她妈着急啊,我和她妈着急啊,false
47,4,5,我和她妈着急啊,就趁有活动来替她看看,false
47,4,6,我和她妈着急啊,在相亲活动现场,false
47,4,7,我和她妈着急啊,老年人的数量基本上和年轻人相当,false
47,4,8,我和她妈着急啊,他们都是来替孩子打头阵的,false
48,6,1,父母着急主动请缨,记者调查发现,false
48,6,2,父母着急主动请缨,本该是年轻人自己做主的相亲大会,false
48,6,3,父母着急主动请缨,反而是爹妈唱了主角,false
48,6,4,父母着急主动请缨,要么是儿女排斥相亲,true
48,6,5,父母着急主动请缨,不愿来现场,true
48,6,6,父母着急主动请缨,父母着急主动请缨,false
48,6,7,父母着急主动请缨,要么就是父母不放心,false
48,6,8,父母着急主动请缨,替孩子来把关货比三家,false
49,5,1,年轻时的情感创伤让黄女士心有余悸,经过一段时间的交往,false
49,5,2,年轻时的情感创伤让黄女士心有余悸,他们都感觉非常有缘,false
49,5,3,年轻时的情感创伤让黄女士心有余悸,经过几个月的地下恋情,false
49,5,4,年轻时的情感创伤让黄女士心有余悸,徐某信誓旦旦地表示愿意娶黄女士为妻,false
49,5,5,年轻时的情感创伤让黄女士心有余悸,年轻时的情感创伤让黄女士心有余悸,true
49,5,6,年轻时的情感创伤让黄女士心有余悸,她并没有接受徐某的求婚,false
49,5,7,年轻时的情感创伤让黄女士心有余悸,之后两人继续以姐弟相称,false
50,5,1,黄女士无奈之下向法院提起诉讼,事业有成的黄女士与小20岁的小伙结婚,false
50,5,2,黄女士无奈之下向法院提起诉讼,为避免人财两空,false
50,5,3,黄女士无奈之下向法院提起诉讼,两人在婚前进行了财产公证,false
50,5,4,黄女士无奈之下向法院提起诉讼,怎知婚后小伙两次拿走黄女士钱财,true
50,5,5,黄女士无奈之下向法院提起诉讼,黄女士无奈之下向法院提起诉讼,false
51,6,1,黄女士无奈之下向公安机关报了案,2014年11月,false
51,6,2,黄女士无奈之下向公安机关报了案,徐某趁黄女士不在家,false
51,6,3,黄女士无奈之下向公安机关报了案,将她准备还房贷的12万元现金拿走,false
51,6,4,黄女士无奈之下向公安机关报了案,待黄女士发现后虽联系上了徐某,false
51,6,5,黄女士无奈之下向公安机关报了案,但他却拒绝归还这笔现金,true
51,6,6,黄女士无奈之下向公安机关报了案,黄女士无奈之下向公安机关报了案,false
51,6,7,黄女士无奈之下向公安机关报了案,徐某迫于压力,false
51,6,8,黄女士无奈之下向公安机关报了案,将其中的10万元通过银行汇款还给了黄女士,false
51,6,9,黄女士无奈之下向公安机关报了案,然而对剩余的2万元却迟迟不予归还,false
51,6,10,黄女士无奈之下向公安机关报了案,并且把黄女士的电话号码拖进了黑名单,false
52,3,1,害怕被现男友知道,女子未婚先孕,false
52,3,2,害怕被现男友知道,在厕所里产下前男友孩子后,false
52,3,3,害怕被现男友知道,害怕被现男友知道,true
52,3,4,害怕被现男友知道,居然用塑料带勒住孩子脖子,false
52,3,5,害怕被现男友知道,使其窒息而死,false
52,3,6,害怕被现男友知道,事后竟又回到寝室睡觉,false
53,8,1,过度惊慌且害怕婴儿的啼哭声被宿舍同学听到,2014年12月21日晚上11点,false
53,8,2,过度惊慌且害怕婴儿的啼哭声被宿舍同学听到,方某感觉肚子很疼就去了厕所,false
53,8,3,过度惊慌且害怕婴儿的啼哭声被宿舍同学听到,结果产下一男婴,false
53,8,4,过度惊慌且害怕婴儿的啼哭声被宿舍同学听到,方某忙用手把孩子的脐带扯断,false
53,8,5,过度惊慌且害怕婴儿的啼哭声被宿舍同学听到,然后给王明打电话,false
53,8,6,过度惊慌且害怕婴儿的啼哭声被宿舍同学听到,其电话被王明拉黑,false
53,8,7,过度惊慌且害怕婴儿的啼哭声被宿舍同学听到,久打不通,false
53,8,8,过度惊慌且害怕婴儿的啼哭声被宿舍同学听到,过度惊慌且害怕婴儿的啼哭声被宿舍同学听到,true
53,8,9,过度惊慌且害怕婴儿的啼哭声被宿舍同学听到,方某随手捡过一个黑色塑料袋,false
53,8,10,过度惊慌且害怕婴儿的啼哭声被宿舍同学听到,将其扭成条状,false
53,8,11,过度惊慌且害怕婴儿的啼哭声被宿舍同学听到,缠绕在男婴的脖子上,false
53,8,12,过度惊慌且害怕婴儿的啼哭声被宿舍同学听到,使其窒息而死,false
53,8,13,过度惊慌且害怕婴儿的啼哭声被宿舍同学听到,并将其尸体用黑色塑料袋包了五六层,false
53,8,14,过度惊慌且害怕婴儿的啼哭声被宿舍同学听到,放入自己床底的行李箱中,false
53,8,15,过度惊慌且害怕婴儿的啼哭声被宿舍同学听到,上面以衣服遮盖,false
54,8,1,事后又追悔莫及,方某出于无知和害怕,false
54,8,2,事后又追悔莫及,知道怀孕后并没有进行相应孕检,false
54,8,3,事后又追悔莫及,也没有为婴儿降生做相应的准备,false
54,8,4,事后又追悔莫及,突然产子后,false
54,8,5,事后又追悔莫及,怕被人发现,false
54,8,6,事后又追悔莫及,为了保住脸面,false
54,8,7,事后又追悔莫及,情急之下不择手段,true
54,8,8,事后又追悔莫及,事后又追悔莫及,false
54,5,1,怕被人发现,方某出于无知和害怕,false
54,5,2,怕被人发现,知道怀孕后并没有进行相应孕检,false
54,5,3,怕被人发现,也没有为婴儿降生做相应的准备,false
54,5,4,怕被人发现,突然产子后,false
54,5,5,怕被人发现,怕被人发现,true
54,5,6,怕被人发现,为了保住脸面,false
54,5,7,怕被人发现,情急之下不择手段,false
54,5,8,怕被人发现,事后又追悔莫及,false
56,2,1,无奈的她没有太多怨言,陈某得知丈夫婚外同居后,true
56,2,2,无奈的她没有太多怨言,无奈的她没有太多怨言,false
56,2,3,无奈的她没有太多怨言,只要求叶某每月及时支付保姆费和生活费,false
56,2,4,无奈的她没有太多怨言,直至去年4月份,false
56,2,5,无奈的她没有太多怨言,瘫痪在床的陈某灰心丧气服农药自杀了,false
57,12,1,她在无奈之下提出了协议离婚,当时家里的大事小事都是婆婆当家做主,false
57,12,2,她在无奈之下提出了协议离婚,侯爱红说,false
57,12,3,她在无奈之下提出了协议离婚,虽然夫妻俩的感情一直很好,false
57,12,4,她在无奈之下提出了协议离婚,但婆媳问题却日渐严重,false
57,12,5,她在无奈之下提出了协议离婚,夹在中间为难的郭永奎,false
57,12,6,她在无奈之下提出了协议离婚,爱上了喝酒,false
57,12,7,她在无奈之下提出了协议离婚,对家里的事不管不顾,false
57,12,8,她在无奈之下提出了协议离婚,家中所有的担子,false
57,12,9,她在无奈之下提出了协议离婚,几乎落在了侯爱红一个人身上,false
57,12,10,她在无奈之下提出了协议离婚,面对日益找茬的婆婆和经常醉酒的丈夫,true
57,12,11,她在无奈之下提出了协议离婚,侯爱红说,false
57,12,12,她在无奈之下提出了协议离婚,她在无奈之下提出了协议离婚,false
58,11,1,让他经常感到绝望压抑,郭永奎离婚后,false
58,11,2,让他经常感到绝望压抑,在父母的安排下,false
58,11,3,让他经常感到绝望压抑,谈过3个女朋友,false
58,11,4,让他经常感到绝望压抑,但都没有结果,false
58,11,5,让他经常感到绝望压抑,她们都觉得,false
58,11,6,让他经常感到绝望压抑,郭永奎心里一直没有忘记前妻,false
58,11,7,让他经常感到绝望压抑,郭永奎先后送走了逝去的父母,false
58,11,8,让他经常感到绝望压抑,为了生计辗转多地打工,false
58,11,9,让他经常感到绝望压抑,父母的离世,true
58,11,10,让他经常感到绝望压抑,对前妻和孩子的思念,true
58,11,11,让他经常感到绝望压抑,让他经常感到绝望压抑,false
59,2,1,成了漯河市民的喜悦中,我当时还沉浸在买了新房,true
59,2,2,成了漯河市民的喜悦中,成了漯河市民的喜悦中,true
59,2,3,成了漯河市民的喜悦中,感觉终于可以松一口气,false
59,2,4,成了漯河市民的喜悦中,停下脚步歇一歇了,false
59,2,5,成了漯河市民的喜悦中,侯爱红告诉记者,false
59,2,6,成了漯河市民的喜悦中,这时她突然接到郭永奎朋友的电话,false
59,2,7,成了漯河市民的喜悦中,说郭永奎在济南得了脑溢血,false
59,2,8,成了漯河市民的喜悦中,现在昏迷住在济南一家医院,false
60,3,1,我还是挺心疼的,虽然已经离婚十年了,false
60,3,2,我还是挺心疼的,但是看着他躺在医院不能动,true
60,3,3,我还是挺心疼的,我还是挺心疼的,false
60,3,4,我还是挺心疼的,在一起的那些年,false
60,3,5,我还是挺心疼的,他对我挺好的,false
60,3,6,我还是挺心疼的,我们之间也没有什么大的矛盾,false
60,3,7,我还是挺心疼的,在济南陪他治病那段时间,false
60,3,8,我还是挺心疼的,我想了很多,false
60,3,9,我还是挺心疼的,虽然已经离婚了,false
60,3,10,我还是挺心疼的,但他毕竟是孩子的亲爹,false
60,3,11,我还是挺心疼的,为了孩子,false
60,3,12,我还是挺心疼的,我也不能不管他,false
60,3,13,我还是挺心疼的,侯爱红说,false
61,6,1,自觉愧疚的丈夫刘军不停地道歉希望能够挽留李梅,婚后第2个月,false
61,6,2,自觉愧疚的丈夫刘军不停地道歉希望能够挽留李梅,李梅怀孕了,false
61,6,3,自觉愧疚的丈夫刘军不停地道歉希望能够挽留李梅,但仅3个月后,false
61,6,4,自觉愧疚的丈夫刘军不停地道歉希望能够挽留李梅,李梅却发现丈夫刘军有外遇,true
61,6,5,自觉愧疚的丈夫刘军不停地道歉希望能够挽留李梅,并且这个潜伏已久的第三者也已怀孕,true
61,6,6,自觉愧疚的丈夫刘军不停地道歉希望能够挽留李梅,自觉愧疚的丈夫刘军不停地道歉希望能够挽留李梅,false
61,6,7,自觉愧疚的丈夫刘军不停地道歉希望能够挽留李梅,他还写了份保证书,false
61,6,8,自觉愧疚的丈夫刘军不停地道歉希望能够挽留李梅,保证以后不再联系第三者,false
61,6,9,自觉愧疚的丈夫刘军不停地道歉希望能够挽留李梅,如果做不到,false
61,6,10,自觉愧疚的丈夫刘军不停地道歉希望能够挽留李梅,净身出户,false
61,6,11,自觉愧疚的丈夫刘军不停地道歉希望能够挽留李梅,房子留给李梅和孩子,false
62,4,1,却让剩男剩女们心有余悸,春节假期已经结束,false
62,4,2,却让剩男剩女们心有余悸,上班族开启了上班模式,false
62,4,3,却让剩男剩女们心有余悸,但春节期间的那场战争——相亲,true
62,4,4,却让剩男剩女们心有余悸,却让剩男剩女们心有余悸,false
63,4,1,吐槽自己成为被催婚族的苦恼和无奈,3月5日,false
63,4,2,吐槽自己成为被催婚族的苦恼和无奈,有网友在红网论坛以常德一美女写保证书要嫁出去不然就睡马路为题,false
63,4,3,吐槽自己成为被催婚族的苦恼和无奈,晒出了一张保证书,false
63,4,4,吐槽自己成为被催婚族的苦恼和无奈,吐槽自己成为被催婚族的苦恼和无奈,true
64,6,1,我确实很着急,相比于小徐的淡定,false
64,6,2,我确实很着急,小徐的妈妈就坐不住了,false
64,6,3,我确实很着急,她周围的同学朋友同事,false
64,6,4,我确实很着急,都陆陆续续结婚了,false
64,6,5,我确实很着急,她连个男朋友都没谈过,true
64,6,6,我确实很着急,我确实很着急,false
64,6,7,我确实很着急,我也知道这个保证书没什么实质性作用,false
64,6,8,我确实很着急,就是图个心安,false
65,3,1,王女士很开心,昨天,false
65,3,2,王女士很开心,得知有很多热心人都愿意帮助她完成心愿,true
65,3,3,王女士很开心,王女士很开心,false
65,3,4,王女士很开心,无论什么结果我都能接受,false
65,3,5,王女士很开心,当然也期待能有一个好结果,false
65,3,6,王女士很开心,感谢这些热心人和媒体,false
66,7,1,王女士非常激动,昨晚11时48分,false
66,7,2,王女士非常激动,王女士给记者回过来电话表示,false
66,7,3,王女士非常激动,外出办事,false
66,7,4,王女士非常激动,手机没电了,false
66,7,5,王女士非常激动,没想到错过了记者那么多电话,false
66,7,6,王女士非常激动,当得知心仪男子已找到,true
66,7,7,王女士非常激动,王女士非常激动,false
66,7,8,王女士非常激动,真的啊,false
66,7,9,王女士非常激动,这么快,false
66,7,10,王女士非常激动,随后当记者告诉她,false
66,7,11,王女士非常激动,这名男子已婚的消息后,false
66,7,12,王女士非常激动,电话那头的王女士沉默的几秒钟后表示这样啊,false
66,7,13,王女士非常激动,那就没有见面的必要了,false
66,7,14,王女士非常激动,也没什么遗憾了,false
66,7,15,王女士非常激动,至少我努力了,false
66,7,16,王女士非常激动,做了一件感动自己的事情,false
66,7,17,王女士非常激动,当得知对方快要当爸爸的消息后,false
66,7,18,王女士非常激动,王女士连连说了几句祝福他,false
66,7,19,王女士非常激动,并表示这件事就这么过去了,false
66,7,20,王女士非常激动,她会继续寻找属于自己的幸福,false
67,8,1,徐永芬仍忍不住哽咽,亲戚朋友我都借了,false
67,8,2,徐永芬仍忍不住哽咽,终于凑到钱做了手术,false
67,8,3,徐永芬仍忍不住哽咽,但我们再也承担不了昂贵的医药费,false
67,8,4,徐永芬仍忍不住哽咽,术后第二天他就出院,false
67,8,5,徐永芬仍忍不住哽咽,就连术后拆线,false
67,8,6,徐永芬仍忍不住哽咽,都是他对着镜子拆的,false
67,8,7,徐永芬仍忍不住哽咽,回忆起最难的日子,true
67,8,8,徐永芬仍忍不住哽咽,徐永芬仍忍不住哽咽,false
68,2,1,刘淑梅就很焦虑,每当在新闻上看到血库告急的消息,true
68,2,2,刘淑梅就很焦虑,刘淑梅就很焦虑,false
68,2,3,刘淑梅就很焦虑,她希望能有更多的人加入义务献血的队伍,false
68,2,4,刘淑梅就很焦虑,给紧急患者扩宽生命道路,false
68,2,5,刘淑梅就很焦虑,但是献血是自愿的事,false
68,2,6,刘淑梅就很焦虑,在刘淑梅看来,false
68,2,7,刘淑梅就很焦虑,自己十几年的献血经历是义务而非张扬的资本,false
68,2,8,刘淑梅就很焦虑,她希望自己的坚持能稍稍缓解一下血库的存血不足情况,false
69,4,1,曾经刘淑梅一直为献血年龄限定在55岁而苦恼,刘淑梅乐呵呵地告诉记者,false
69,4,2,曾经刘淑梅一直为献血年龄限定在55岁而苦恼,她和她的家人都很健康,false
69,4,3,曾经刘淑梅一直为献血年龄限定在55岁而苦恼,可以持续献血为社会做贡献,false
69,4,4,曾经刘淑梅一直为献血年龄限定在55岁而苦恼,曾经刘淑梅一直为献血年龄限定在55岁而苦恼,true
69,4,5,曾经刘淑梅一直为献血年龄限定在55岁而苦恼,我现在献血都成习惯了,false
69,4,6,曾经刘淑梅一直为献血年龄限定在55岁而苦恼,要是年龄到了不能继续献血我就会非常失落,false
69,4,7,曾经刘淑梅一直为献血年龄限定在55岁而苦恼,后来血站工作人员告诉我,false
69,4,8,曾经刘淑梅一直为献血年龄限定在55岁而苦恼,献血年龄现在放宽到60岁,false
69,4,9,曾经刘淑梅一直为献血年龄限定在55岁而苦恼,我还可以继续献血,false
69,4,10,曾经刘淑梅一直为献血年龄限定在55岁而苦恼,一直到我六十岁那一天,false
69,4,11,曾经刘淑梅一直为献血年龄限定在55岁而苦恼,到我的身体不允许我献血的那一天,false
69,6,1,要是年龄到了不能继续献血我就会非常失落,刘淑梅乐呵呵地告诉记者,false
69,6,2,要是年龄到了不能继续献血我就会非常失落,她和她的家人都很健康,false
69,6,3,要是年龄到了不能继续献血我就会非常失落,可以持续献血为社会做贡献,false
69,6,4,要是年龄到了不能继续献血我就会非常失落,曾经刘淑梅一直为献血年龄限定在55岁而苦恼,false
69,6,5,要是年龄到了不能继续献血我就会非常失落,我现在献血都成习惯了,false
69,6,6,要是年龄到了不能继续献血我就会非常失落,要是年龄到了不能继续献血我就会非常失落,true
69,6,7,要是年龄到了不能继续献血我就会非常失落,后来血站工作人员告诉我,false
69,6,8,要是年龄到了不能继续献血我就会非常失落,献血年龄现在放宽到60岁,false
69,6,9,要是年龄到了不能继续献血我就会非常失落,我还可以继续献血,false
69,6,10,要是年龄到了不能继续献血我就会非常失落,一直到我六十岁那一天,false
69,6,11,要是年龄到了不能继续献血我就会非常失落,到我的身体不允许我献血的那一天,false
71,2,1,他发现一个小孩漫无目的的边哭边走,去年庙会上,false
71,2,2,他发现一个小孩漫无目的的边哭边走,他发现一个小孩漫无目的的边哭边走,false
71,2,3,他发现一个小孩漫无目的的边哭边走,旁边没有大人陪伴,false
71,2,4,他发现一个小孩漫无目的的边哭边走,于是赶紧上前询问,false
71,2,5,他发现一个小孩漫无目的的边哭边走,果然,false
71,2,6,他发现一个小孩漫无目的的边哭边走,一问得知孩子跟家人走散了,true
71,2,7,他发现一个小孩漫无目的的边哭边走,他马上蹲下身子哄孩子,false
71,2,8,他发现一个小孩漫无目的的边哭边走,将其带到执法车上吃东西喝水,false
71,2,9,他发现一个小孩漫无目的的边哭边走,休息取暖,false
71,2,10,他发现一个小孩漫无目的的边哭边走,问清楚父母姓名后,false
71,2,11,他发现一个小孩漫无目的的边哭边走,随即打电话给地坛庙会指挥部,false
71,2,12,他发现一个小孩漫无目的的边哭边走,广播寻找孩子家长,false
71,2,13,他发现一个小孩漫无目的的边哭边走,再通知公安部门帮助寻找,false
71,2,14,他发现一个小孩漫无目的的边哭边走,最后,false
71,2,15,他发现一个小孩漫无目的的边哭边走,终于帮孩子找到了母亲,false
72,7,1,心里总会很愧疚,大年三十晚上我都会给家里打个电话,false
72,7,2,心里总会很愧疚,给父母拜个年,false
72,7,3,心里总会很愧疚,孩子上小学一年级,false
72,7,4,心里总会很愧疚,看着别的家长带着孩子来地坛庙会,false
72,7,5,心里总会很愧疚,我却不能陪孩子过年,true
72,7,6,心里总会很愧疚,再想想父母的年纪也越来越大了,true
72,7,7,心里总会很愧疚,心里总会很愧疚,false
72,7,8,心里总会很愧疚,寇文军家里有两位老人,false
72,7,9,心里总会很愧疚,春节前夕都刚做完手术,false
72,7,10,心里总会很愧疚,现在正是最需要照顾的时候,false
72,7,11,心里总会很愧疚,可队里太忙,false
72,7,12,心里总会很愧疚,实在顾不上回家,false
72,7,13,心里总会很愧疚,他只好将照顾老人和孩子的重任,false
72,7,14,心里总会很愧疚,都交给了老婆,false
73,2,1,北京儿童医院的病房里都会传出阵阵笑声,每逢周三,false
73,2,2,北京儿童医院的病房里都会传出阵阵笑声,北京儿童医院的病房里都会传出阵阵笑声,false
73,2,3,北京儿童医院的病房里都会传出阵阵笑声,不用说,false
73,2,4,北京儿童医院的病房里都会传出阵阵笑声,肯定是小丑叔叔又来了,true
73,2,5,北京儿童医院的病房里都会传出阵阵笑声,提到刘进军的名字,false
73,2,6,北京儿童医院的病房里都会传出阵阵笑声,小病友们都不知,false
73,2,7,北京儿童医院的病房里都会传出阵阵笑声,但一说小丑叔叔几乎无人不知,false
73,2,8,北京儿童医院的病房里都会传出阵阵笑声,这位藏在浓墨重彩后的七旬老人,false
73,2,9,北京儿童医院的病房里都会传出阵阵笑声,总能用魔术和气球让患儿暂时忘掉病痛,false
74,3,1,让大家都衷敬佩,北京儿童医院护理部的一位护士告诉记者,false
74,3,2,让大家都衷敬佩,老人十多年坚持义务表演的行为,true
74,3,3,让大家都衷敬佩,让大家都衷敬佩,false
74,3,4,让大家都衷敬佩,每周都雷打不动地来,false
74,3,5,让大家都衷敬佩,从不缺勤迟到,false
75,3,1,那天是一个大喜的日子,一群爱心志愿者簇拥着李世铭夫妇和他们两岁的儿子李沐羿鑫兴高采烈地走进家门,false
75,3,2,那天是一个大喜的日子,对于李世铭一家来说,false
75,3,3,那天是一个大喜的日子,那天是一个大喜的日子,false
75,3,4,那天是一个大喜的日子,被拐骗45天的儿子在那天终于回家了,true
76,6,1,这个春节将是多么幸福,李世铭紧紧地抱着儿子,false
76,6,2,这个春节将是多么幸福,一刻也不愿放开,false
76,6,3,这个春节将是多么幸福,45天,false
76,6,4,这个春节将是多么幸福,对于失去儿子的他们是多么的漫长,false
76,6,5,这个春节将是多么幸福,宝贝回家了,true
76,6,6,这个春节将是多么幸福,这个春节将是多么幸福,false
77,3,1,孩子的出生给一家人带来了无尽的喜悦和欢乐,2012年9月,false
77,3,2,孩子的出生给一家人带来了无尽的喜悦和欢乐,他们的儿子李沐羿鑫出生,false
77,3,3,孩子的出生给一家人带来了无尽的喜悦和欢乐,孩子的出生给一家人带来了无尽的喜悦和欢乐,true
77,3,4,孩子的出生给一家人带来了无尽的喜悦和欢乐,一家人尽管生活清苦,false
77,3,5,孩子的出生给一家人带来了无尽的喜悦和欢乐,但其乐融融,false
77,3,6,孩子的出生给一家人带来了无尽的喜悦和欢乐,李世铭夫妇为生活奔波忙碌,false
77,3,7,孩子的出生给一家人带来了无尽的喜悦和欢乐,孩子一直奶奶照看,false
77,3,8,孩子的出生给一家人带来了无尽的喜悦和欢乐,眼看着儿子一天天长大,false
77,3,9,孩子的出生给一家人带来了无尽的喜悦和欢乐,常年在侯马市打工的李世铭觉得儿子性格有些内向,false
77,3,10,孩子的出生给一家人带来了无尽的喜悦和欢乐,应该多接触外面的世界,false
78,5,1,她心急火燎地给儿子李世铭打电话,当奶奶和摊主讨价还价时,false
78,5,2,她心急火燎地给儿子李世铭打电话,突然发现孙子不见了,false
78,5,3,她心急火燎地给儿子李世铭打电话,奶奶急忙在周围寻找,false
78,5,4,她心急火燎地给儿子李世铭打电话,可哪里也看不到孙子的影子,true
78,5,5,她心急火燎地给儿子李世铭打电话,她心急火燎地给儿子李世铭打电话,false
78,5,6,她心急火燎地给儿子李世铭打电话,李世铭立即放下手里的工作赶到火车站,false
78,5,7,她心急火燎地给儿子李世铭打电话,两人找遍了火车站附近的角落,false
78,5,8,她心急火燎地给儿子李世铭打电话,可是再也没有看到小鑫鑫的身影,false
78,5,9,她心急火燎地给儿子李世铭打电话,奶奶当即瘫坐在地上,false
78,5,10,她心急火燎地给儿子李世铭打电话,失声痛哭,false
78,10,1,失声痛哭,当奶奶和摊主讨价还价时,false
78,10,2,失声痛哭,突然发现孙子不见了,false
78,10,3,失声痛哭,奶奶急忙在周围寻找,false
78,10,4,失声痛哭,可哪里也看不到孙子的影子,false
78,10,5,失声痛哭,她心急火燎地给儿子李世铭打电话,false
78,10,6,失声痛哭,李世铭立即放下手里的工作赶到火车站,false
78,10,7,失声痛哭,两人找遍了火车站附近的角落,false
78,10,8,失声痛哭,可是再也没有看到小鑫鑫的身影,true
78,10,9,失声痛哭,奶奶当即瘫坐在地上,false
78,10,10,失声痛哭,失声痛哭,false
80,4,1,志愿者的一言一行温暖和感动着李世铭一家,不仅如此,false
80,4,2,志愿者的一言一行温暖和感动着李世铭一家,志愿者荣荣还亲自去运城河津等县市对接当地志愿者组织,false
80,4,3,志愿者的一言一行温暖和感动着李世铭一家,动员和呼吁当地志愿者共同发起寻找小鑫鑫的行动,false
80,4,4,志愿者的一言一行温暖和感动着李世铭一家,志愿者的一言一行温暖和感动着李世铭一家,true
80,4,5,志愿者的一言一行温暖和感动着李世铭一家,丢失了孩子,false
80,4,6,志愿者的一言一行温暖和感动着李世铭一家,他们是不幸的,false
80,4,7,志愿者的一言一行温暖和感动着李世铭一家,但众多志愿者的关心和帮助,false
80,4,8,志愿者的一言一行温暖和感动着李世铭一家,他们又觉得是幸运的,false
81,2,1,小鑫鑫的奶奶激动得流着热泪表示,提起志愿者,true
81,2,2,小鑫鑫的奶奶激动得流着热泪表示,小鑫鑫的奶奶激动得流着热泪表示,false
81,2,3,小鑫鑫的奶奶激动得流着热泪表示,她也要做志愿者,false
81,2,4,小鑫鑫的奶奶激动得流着热泪表示,她的儿子儿媳孙子都要做志愿者,false
81,2,5,小鑫鑫的奶奶激动得流着热泪表示,他们家世世代代都要做志愿者,false
81,2,6,小鑫鑫的奶奶激动得流着热泪表示,这个传统一定要传递下去,false
82,8,1,一家人禁不住泪流满面,2月13日一大早,false
82,8,2,一家人禁不住泪流满面,当项目组民警押着犯罪嫌疑人并带着解救回来的小鑫鑫凯旋归来,false
82,8,3,一家人禁不住泪流满面,一下高速口,false
82,8,4,一家人禁不住泪流满面,就受到了闻讯赶来的志愿者团队的热情欢迎和慰问,false
82,8,5,一家人禁不住泪流满面,上午10时,false
82,8,6,一家人禁不住泪流满面,李世铭一家闻讯后赶到侯马市公安局门口,false
82,8,7,一家人禁不住泪流满面,看到失而复得的儿子,true
82,8,8,一家人禁不住泪流满面,一家人禁不住泪流满面,false
83,8,1,并希望通过本报向侯马市公安局向侯马志愿者团队向所有关心帮助他们全家寻找小鑫鑫的好心人表示感谢,2月13日晚,false
83,8,2,并希望通过本报向侯马市公安局向侯马志愿者团队向所有关心帮助他们全家寻找小鑫鑫的好心人表示感谢,记者在李世铭家见到被拐骗45天回家的李沐羿鑫,false
83,8,3,并希望通过本报向侯马市公安局向侯马志愿者团队向所有关心帮助他们全家寻找小鑫鑫的好心人表示感谢,李世铭说,false
