section,discourse,word_count,doc_len,clause_len,emotion_pos,cause_pos,true_pairs,conn
515,17日早上8点多他途经天津大学友谊湖见到湖面结冰了就一时兴起走了上去在他即将上岸时岸边的薄冰突然破裂约兰·沃森坠入冰冷的水中刺骨的冰水让他感到极其寒冷与害怕约兰·沃森慌忙用不太流利甚至难以听清楚的中文大呼救命,104,8,"[8, 10, 16, 7, 9, 12, 16, 26]",[7],[[7]],"[[7, 7]]",而当当就而当但而
516,陶某不务正业平时的生活费用等开销都要靠刘某还经常向刘某要钱赌博这些因素导致两人经常争吵长此以往刘某渐渐对陶某感到绝望不愿将自己辛苦赚来的钱交给陶某去赌双方的矛盾也日益加深1月5日陶某再次向刘某要钱准备去赌博时被刘某拒绝此时双方再次发生了激烈的争吵要钱不成陶某恼羞成怒萌生了将刘某杀掉的念头,144,15,"[6, 15, 10, 12, 4, 11, 17, 10, 4, 20, 2, 12, 4, 6, 11]",[14],[[13]],"[[14, 13]]",因而但但但而更而但当而但就而便
517,1月14日上午崇州市人民医院康复中心大楼307病房里热闹异常23岁的新娘陈婷和23岁的新郎杨恒在这里举办了一场特殊的婚礼新娘陈婷骨瘦如柴体重不足60斤患结肠癌晚期生命垂危我很爱她我要竭尽全力照顾她陪她幸福地走完余下的路新郎杨恒的誓言让在场的亲人和医护人员感动落泪,131,11,"[7, 23, 30, 8, 7, 6, 4, 4, 9, 11, 22]",[11],[[11]],"[[11, 11]]",而而而而因因因但但却而
518,为了延续生命每隔一天黄兰练就要做一次透析每次4个小时恶心痉挛脱发不时地折磨着她而更让她痛苦的是她无法面对家人为医药费用发愁时的绝望黄兰练在床上睡觉的时候我假装睡着我都会听到我爸在床边哭我爸从来不哭的从来不在我面前哭我爸妈从来不哭我哥也不哭可是当我睡着的时候他们就在床边儿哭我想让他们相信我我能做到我没那么痛苦,154,19,"[6, 4, 10, 6, 13, 8, 18, 11, 5, 11, 7, 8, 7, 5, 9, 8, 8, 4, 6]",[6],[[7]],"[[6, 7]]",而而而但因而当当当但但却但而但而但但但
519,王拴虎说联系上失主刘某时刘某本人也很吃惊不敢相信丢失的存单还能再找回来发现存单遗失后刘某本人也四处在找但由于他人已经到了外地正准备赶回咸阳办理挂失手续没想到好心人给捡到并送到了派出所王拴虎说刘某得知自己存单找到后非常高兴电话里一再表示回来后要亲自向好心小伙表示感谢,132,13,"[4, 8, 8, 15, 7, 9, 11, 13, 16, 4, 11, 4, 22]","[3, 12]","[[4], [11]]","[[3, 4], [12, 11]]",但当而更当而但但但但当但但但当而更当而但但但但当但但
521,他们背着他葛鹏飞去上厕所每次等他方便完后还要帮他擦拭然后再帮他穿好裤子把屎把尿的不要说是孩子连大人都不太做得到孩子们的做法让我们非常感动副校长陶小敏说每到周末如果遇到了晴天四位男生总会推着轮椅载着葛鹏飞去不远的运河广场溜一圈顺便晒晒太阳,118,13,"[12, 14, 9, 5, 6, 9, 13, 7, 4, 7, 10, 16, 6]",[7],[[7]],"[[7, 7]]",当但但就更就而但但但而就当
522,王先生的老父亲前几天意外走失为寻找老人他印制了百余张寻人启事张贴在父亲走失区域附近的电线杆上本来以为这些寻人启事会很快被城管人员清理但过了几天王先生再次来到这里时却发现寻人启事还在只是上面多了一行字一星期后自行处理纸张谢谢看到那些字感觉到他们对我的理解很感动王先生说,133,13,"[14, 5, 11, 16, 20, 15, 9, 19, 2, 5, 10, 3, 4]",[12],[[11]],"[[12, 11]]",而因而而但但但就但就更但但
523,去年底告诉了他雷汉强说去年12月底博文参加完澳门的比赛回家后得了奖一家人都很高兴博文看到他妈妈不在家才知道妈妈住院了这次不能再瞒了雷汉强说博文要参加去美国读书的考试万一去了美国他妈妈有什么事怎么让孩子安心过以后的生活,108,14,"[7, 4, 6, 13, 3, 7, 10, 8, 7, 4, 13, 6, 7, 13]",[6],[[5]],"[[6, 5]]",但但而当就但但但但但而但但但
524,昨日15点李女士带着老人做了脑部CT李女士称父亲身体一向很好经常骑车去买菜听课早上那会儿她不在现场不知道当时的具体情况听说有那么多的好心人帮扶她非常感激特别幸运的是遇上两名医护人员给父亲争取了最佳的治疗时间,103,13,"[5, 13, 4, 8, 9, 5, 5, 10, 12, 5, 6, 8, 13]",[10],[[9]],"[[10, 9]]",而由但但就但但但但但但但就
525,事情要从去年12月27日说起当天下午2点半王先生的岳父孙老先生出门散步一直到下午6点多还没回家因为老人没带通讯工具一家人非常着急王先生说种种方式都试过但仍没有老人的消息这时时间已到了晚上10点半,97,10,"[14, 7, 14, 12, 10, 7, 4, 7, 9, 13]",[6],[[4]],"[[6, 4]]",但而与但但但但但但而
526,通过聊天记者了解到王阿姨曾是一名弃婴1954年王阿姨出生于大连庄河刚出生几个月王阿姨身上长了疹子担心治不好亲生父母把她遗弃在农村一个小土丘上当天正赶上学校放假一帮教师路过时听见土包上有哭声大伙就爬上土丘后结果就在草堆里发现了我,113,14,"[4, 5, 9, 5, 10, 6, 9, 5, 17, 9, 7, 8, 8, 11]",[8],[[8]],"[[8, 8]]",或但而由而就当更因但当就但但
527,虽然一生坎坷王阿姨却很乐观我这人福大命大风风雨雨习惯了但昨日出事后王阿姨还是担心她不担心自己受伤却怕这事让女儿知道她一直不同意我出来工作这事如果她听说了肯定和我吵吵王阿姨说,86,13,"[6, 7, 7, 4, 3, 6, 7, 8, 9, 11, 8, 6, 4]",[7],[[9]],"[[7, 9]]",但但但但就但但但但但但但但
528,这所小学名叫长堰沟小学坐落在大巴山深处巫山脚下与重庆交界近几年大量青壮年外出务工附近孩子的上学问题让家长颇为担心这座小学的成立不仅解决了父母们的担忧更让许许多多的留守儿童通过学习知识走出大山,95,9,"[11, 12, 5, 3, 9, 16, 7, 11, 21]",[6],[[6]],"[[6, 6]]",而就因但因而而但但
529,当时老板请彭传忠把工资转交给侯军而彭传忠正在做透析当彭传忠脖子上插着血迹斑斑的管子出现在老板面前在场的人吓了一大跳夜长梦多当时我担心等两个小时再去拿老板会变卦彭传忠说带放大镜进考场通过考试为了更好地帮困难群众维权彭传忠决定参加司法考试,117,11,"[2, 14, 9, 23, 9, 4, 13, 5, 4, 23, 11]",[7],[[8]],"[[7, 8]]",但但因但但因但当但如但
530,从这所村小走出的大学生就有50名左右这让夫妻俩自豪不已他们的愿望希望学校越办越好希望更多的好心人能帮助这群留守儿童,57,4,"[18, 9, 13, 17]",[2],[[1]],"[[2, 1]]",而而但更
531,刘春华向医生申请进入无菌室贴身照顾儿子被告知必须剃成光头就这样在丈夫李师傅的陪伴之下她去了医院附近的理发店刘春华舍不得剪还伤伤心心地哭了一场李师傅说刘春华的头发本来就不多留成中长发都用了很长时间而且她本人也很注重自己的外在形象,113,11,"[19, 9, 3, 11, 11, 7, 10, 4, 11, 12, 16]",[7],[[6]],"[[7, 6]]",但但但但而但但但而但而
532,课堂上老师说愧之则小人可使为君子激之则君子可使为小人这句话和这次经历让他受到启发他说对方闯红灯是他错了但鞠躬可以感化他如果简单地口头说教难免会让对方恼羞成怒甚至可能引发争执如果以礼以诚相待对方必然心生愧疚最终实现劝阻目的,110,12,"[16, 10, 14, 2, 9, 8, 9, 10, 8, 8, 8, 8]",[8],[[7]],"[[8, 7]]",但若但但当但但但但但而而
533,吕军海的行为感动着襄阳市民和执勤交警正在路上执勤的女交警姚森林说即使有我们警察在现场疏导交通100名路人中有近一半会闯红灯如果警察不在场至少有60人闯红灯那位鞠躬老人我现在也叫不上他的名字但他的行为令人佩服也很有效果,108,10,"[6, 12, 14, 14, 15, 16, 6, 11, 9, 5]","[2, 9]","[[1], [9]]","[[2, 1], [9, 9]]",而更而但而但而而但但而却而但当但而而但但
535,按照规定在早上7时30分到8时30分的早班高峰期他必须站在路口中央指挥来往车辆如果擅自离岗将被记过通报并扣工资救人事大被记过没关系得知老人病情恢复平稳后叶林锋显得格外高兴他说虽然社会上经常有不敢扶老人的事例但事情真正发生在身边时自己根本没有想太多只是想尽快帮帮这位病危老人,136,15,"[4, 20, 9, 6, 6, 10, 4, 6, 11, 9, 2, 16, 11, 9, 13]",[10],[[9]],"[[10, 9]]",但而但总但或总但当而但但但而但
536,覃健发生意外时由她担任班主任的三1班女生李芬化名正在学校里等待回家的校车她在校门口远远就看到了凌乱的事发现场和焦急呼救的大人们覃老师身亡的消息最终传来李芬当场就伤心地哭了李芬是覃健在培英小学最关心的学生之一她在几年前从高处跌落左半边身子行动不便,122,8,"[7, 29, 27, 12, 10, 18, 10, 9]",[5],[[4]],"[[5, 4]]",当由当但而而但但
537,两个月前覃健刚刚度过28岁的生日万红惦念着给妻子一个惊喜瞒着她买了一块300元的女式手表覃健拿到生日礼物后虽然高兴却也一直埋怨万红买得太贵了覃健最舍得花钱的是给女儿添置衣物她离世前刚在网上买了一件小棉衣计划着元旦时回趟湖北给留在老家的女儿庆祝生日如今她只能缺席女儿一周岁的生日宴,139,13,"[4, 12, 12, 16, 13, 13, 8, 8, 15, 10, 12, 2, 14]",[5],[[5]],"[[5, 5]]",但而但但而但但但但但却但但
538,9月14日上午该报社编辑部收到了一张500元的汇款单清楚地标注着请转交郭学敏该捐款人名叫龚桂方是一名水手浙江省温岭人跟随轮船从秦皇岛港往长江沿岸的南方城市运输煤炭由于工作需要他每个月都要跟随轮船来一次秦皇岛他无意间看到了郭学敏的报道我感到非常心酸考上那么好的大学却读不起多遗憾啊,139,13,"[7, 19, 12, 9, 5, 6, 23, 6, 16, 13, 7, 12, 4]",[11],[[12]],"[[11, 12]]",但但更而但故因因但但但但更
539,孩子别让自己太累只要叔叔还能赚钱就一定帮你完成学业登上勤丰318号货轮4层一个狭窄的房间里有一台小冰箱里面药挤得满满的你看这药不起眼1盒将近300元钱我1个月得吃10盒龚桂方说由于担心被船主开除对病情他尽量保密在船上好歹1个月还能赚6000元钱除了自己吃药还能支援小郭一部分工作没了我拿啥帮她啊,147,20,"[2, 6, 8, 9, 10, 16, 8, 7, 9, 9, 4, 9, 3, 5, 3, 14, 6, 9, 4, 6]",[12],[[12]],"[[12, 12]]",与但但但或而但但但而但或但但就但但但但但
540,大火是从居民楼西侧开始燃烧的居民刘先生告诉记者也就是10分钟的工夫大火借着风势一路烧到了东边很快引燃了整个楼顶壮小伙背起老人逃生起火楼下聚集着数十位衣着单薄的居民不少居民还未从刚才的惊恐中缓过来真是吓死了一名80多岁的老大爷告诉记者他家住七楼火灾发生时只有他和老伴在家根本就不知道楼顶已经起了大火,148,12,"[14, 9, 10, 13, 9, 26, 16, 5, 14, 5, 13, 14]",[7],[[5]],"[[7, 5]]",而而但但但更但当而而当但
541,王先生说他也是无意中才发现这几名小学生已经悄悄离开了这几个孩子的行为太让人感动了我作为一个大人都没有这样的勇气去帮助一名伤者孩子们却能够用自己微小的力量去保护别人王先生说这6名小学生应该是张店区兴学街小学的学生,105,7,"[4, 22, 14, 22, 19, 4, 20]",[3],[[3]],"[[3, 3]]",但而但但而但而
542,上月30日当林女士收到包裹以后打开一看里面竟然有16个书包卖家还附上了一张字条上面写着您好您的善举感动了我我也是一个穷苦学生也受到社会上的关爱为表心意也带上我的微心愿礼物送给孩子6个书包可能不是很多但是这份爱心真的太让人感动了真希望越来越多人能参与到暖心行动中来,131,13,"[5, 10, 4, 10, 10, 6, 8, 9, 9, 18, 10, 14, 18]","[7, 12]","[[7], [12]]","[[7, 7], [12, 12]]",但而但但而但但但但因但但但但而但而而但因而但因但但但
544,硬着头皮焦女士把实情和盘托出宝贝现在如果需要你的血去救爸爸你愿意吗小峰丝毫没犹豫拿去啊抽吧抽多少都行这一句话妈妈姑姑都哭了儿子只有8岁还在长身体他根本不懂什么是抽取造血干细胞让孩子承受那么大的痛苦我真的很心疼很心疼妈妈说,110,15,"[4, 12, 13, 4, 10, 2, 5, 4, 7, 6, 5, 15, 11, 9, 3]",[14],[[13]],"[[14, 13]]",但但但但而就就就但但但但却但但
545,8年前老陈经常肚子疼腹股沟部位鼓起了两个小包块在当地医院检查是疝气需要手术听说要花好几千老陈决定不治这些年腹部的包块越长越大像挂着两个小皮球每回干活一用劲包块就往外掉出来痛得他直冒冷汗看着父亲带病操劳两姐妹心疼不已去年女儿双双被武汉一所重点大学录取入学后两姐妹暗地里商量要发奋学习拿到奖学金给父亲凑钱治病,152,22,"[3, 7, 13, 10, 4, 7, 6, 3, 9, 8, 7, 8, 7, 8, 7, 2, 15, 3, 8, 5, 5, 7]",[15],[[14]],"[[15, 14]]",由而因但如但但就而就但而就却当而与但但更却因
546,小华说她渴望活下去回校读书每次看到弟弟妹妹去上学的背影她都因为羡慕而流泪面对今后巨大的治疗费用麦孔发压力很大他说我有个小本子谁捐的钱我都记得清清楚楚等孩子病好了我就一点点地还给这些好心人我还不完的孩子长大以后还无论如何也要让女儿好好地活下去,120,15,"[3, 6, 4, 14, 9, 11, 7, 2, 6, 12, 19, 5, 7, 4, 11]",[5],[[5]],"[[5, 5]]",但但但但但但若但但但但但当但但
547,短短几天时间就有不少闻讯的热心市民前来购买爱心饼经营化妆品生意的张先生特意从建国路赶来一次买了10张鸡蛋饼谁都有父母儿女看到他们为孩子付出这么多我很感动郑女士是通过微信知道这件事的转发的人很多朋友委托我一定多买几张饼帮不了大忙就帮个人气吧,119,13,"[6, 18, 11, 8, 10, 7, 12, 4, 14, 6, 12, 5, 6]",[8],[[7]],"[[8, 7]]",就但而就就但但但而但但但但
548,小张和小付来自丰南我们都是打工的挣得虽然不多老人碰到了为难的事能帮就帮一点许多市民还执意放下十元百元的钞票不让找零对于大家的热心帮助老杨夫妇十分感激但是对于众多爱心人士的无偿捐赠他们委婉地表示了拒绝,99,11,"[9, 7, 6, 9, 6, 16, 4, 9, 8, 15, 10]",[9],[[8]],"[[9, 8]]",而但但但但但但但而而但
549,27岁的朱凯莉是宿州萧县杨楼镇人不过她常年住在宜兴万石镇最近一段时间朱凯莉无私照顾一个患病男孩7年的故事让很多宜兴当地人感动2006年学习护理的朱凯莉来宜兴的一家疗养院做护理员在这他结识了周律从15岁开始周律就因患有强直性脊柱炎下肢渐渐变得无法动弹,124,12,"[16, 2, 10, 6, 18, 10, 5, 21, 8, 6, 12, 10]",[6],[[5]],"[[6, 5]]",而但而而而更由而就但而但
550,不一会儿围观路人越来越多很多人知晓后都说罗大妈傻罗大妈不理睬这些声音站在路边并让一名男子拨打电话报警我害怕我打电话的时候有人会趁我不注意拿走钱所以就叫他人打电话不久南川区特警支队巡逻民警赶到现场对包内物品进行核实希望能找到失主的线索,116,14,"[4, 8, 6, 6, 10, 4, 12, 10, 11, 9, 2, 15, 9, 10]",[8],[[9]],"[[8, 9]]",但而但但但就但当总就但而如但
551,王君原来所在修理厂的老板张先生说王君当时来应聘时自己非常惊讶他是当时修理厂学历最高的工人每次修车都非常投入有一次生病还是坚持修车让自己很感动王君告诉重庆晚报记者汽车的构造让他研究起来入迷当修理工这几年除了学会修车技术还摸透了修车和配件价格等,120,10,"[16, 14, 14, 9, 11, 6, 10, 13, 15, 12]","[2, 6]","[[2], [5]]","[[2, 2], [6, 5]]",而当而但但就但而但但而当而但但就但而但但
553,两年前得知妹妹能够行走后吴兴国和年过七旬的父母都为她高兴可想着妹妹为了照顾小儿子艰难练习走路的场景父母也经常抱头痛哭他们为不能帮助女儿而难过可家里实在困难吴兴国说希望家乡的好心人能帮可怜的妹妹一把他们全家都会由衷的感谢,109,9,"[3, 9, 16, 21, 9, 12, 7, 21, 11]","[3, 6]","[[2], [6]]","[[3, 2], [6, 6]]",而当而但而但但但但而当但但而但但但但
555,他热衷社会公益事业早在2005年就加入了马鞍山市无偿献血者的行列2010年叶东华又加入到中华骨髓库并荣获国家红十字会志愿服务星级荣誉称号今年8月份当叶东华接到安徽省红十字会电话得知自己的造血干细胞与一名白血病患者配对成功后惊喜万分有机会捐献造血干细胞拯救他人生命他当即表示愿意捐献,140,10,"[9, 23, 17, 19, 5, 15, 27, 10, 6, 9]",[7],[[7]],"[[7, 7]]",但而而因而但当更而但
556,由于礁石十分陡峭周围暗礁时隐时现加上海浪很大搜救船只吃水比较深几番尝试根本无法靠上礁石眼见遇险船员就在不远处却无法靠礁救人搜救人员心急如焚搜救小组立即决定求助当地渔民驾驶小渔船前来帮忙,92,10,"[8, 8, 6, 9, 12, 11, 7, 8, 8, 15]",[8],[[7]],"[[8, 7]]",因但更因但但但而但因
557,彭亮介绍生病一年多来同学和老师都给了他很多帮助社会上的好心人也纷纷向他伸出援手让他很感动或许是因为病痛他不忌讳谈死亡反而觉得多活一天是幸运的,70,8,"[4, 6, 13, 16, 5, 7, 7, 12]",[5],[[4]],"[[5, 4]]",由因而而更但但但
558,他说如果哪天他真的走了他也没什么好遗憾的有同学的帮助有社会上好心人的捐助让我多活了这么久我心里很感激届时生命结束了我希望捐献遗体把有用的器官捐献出来去帮助那些有需要的人回报社会,88,12,"[2, 9, 9, 6, 10, 8, 6, 7, 7, 10, 10, 4]",[7],"[[4, 5]]","[[7, 4], [7, 5]]",但但但更更却但但但就就但
559,1年前因病去世的北成小学校友李凤娇难忘怀小学读书时受到校方及老师的关怀照顾临走前嘱托家人将毕生存款捐给学校校方23日收到家属捎来的200万台币善款李凤娇遗爱人间的善举令校方感动未来这笔善款将帮助校内弱势学童安心向学,107,8,"[17, 8, 12, 16, 20, 10, 5, 19]",[7],[[6]],"[[7, 6]]",而更因但而因更而
560,一辆黑色的别克凯越小轿车停在路边轿车右轮爆胎轮毂上仍可见血迹事发的幕府东路为单向5车道公交站台位于快车道上非机动车道仍在修建中扬子晚报记者找到了一位目击者高先生也就几十秒工夫人仰马翻三四个人先后被撞倒场面吓死人了高先生心有余悸地说撞人的黑色小轿车过路口时速度很快而且接连撞了3次第一撞路人被撞得飞过绿化带根据目击者回忆小轿车先是撞上了一名30岁左右的男子男子当即被撞飞越过约70厘米宽的绿化带落到了旁边的非机动车道上侧卧在路面上头部流血,218,21,"[16, 6, 8, 13, 10, 10, 17, 7, 4, 9, 6, 9, 16, 8, 20, 18, 7, 12, 12, 6, 4]",[11],[[10]],"[[11, 10]]",当因但而而但但但但但但但当但因但当当就或因
561,去年12月查出来癌症又复发了医生要我切除整个子宫知道手术后需要化疗需要费用陈敏莉不得不放弃更让她难受的是最简单的治疗她也无力应付费用痛的时候要打止痛针吊水的钱还是别人帮我筹来的,88,11,"[5, 9, 10, 9, 4, 8, 7, 6, 8, 9, 13]",[7],[[9]],"[[7, 9]]",更就但就但而而但而就当
562,如果上课来得及或遇到平路张弘也会让戴晨笑自己慢慢走她担心戴晨笑的脚长时间不运动会萎缩她和我同龄在我心里张弘就是亲姐姐我真希望她一辈子都在我身边做一辈子的好姐妹戴晨笑说,83,9,"[12, 13, 17, 5, 4, 7, 13, 8, 4]",[3],[[3]],"[[3, 3]]",但而但但但与但就但
563,她信心十足地说要坚持背到毕业3个多月过去了张弘一直坚持着每天67趟地背着戴晨笑爬楼我力气很大的能帮她我也蛮高兴只要她需要我就是她的拐杖,67,5,"[21, 26, 8, 5, 7]",[3],[[3]],"[[3, 3]]",但但但但而
564,因为我把婆婆当妈妈伺候我自己的妈妈50多岁就去世了她得病时我忙于工作很少回去照顾现在想想挺后悔的张海燕心疼婆婆老人家一辈子很不容易从小爹妈就没了也没有公公婆婆全靠自己辛苦拉扯大四个孩子,92,9,"[11, 14, 15, 8, 7, 10, 7, 7, 13]",[4],[[3]],"[[4, 3]]",当而当但当当但但就
565,离开四明山后北撤部队搭乘渔船漂流到浦东很多士兵都呕吐得不能走路从浦东到掘港要通过敌军多处封锁线情势更加残酷因形势所迫不少同志要在浦东分散打埋伏魏金根因年纪尚小被当成包袱去向难定因担心组织不让他随军前进魏金根跑到人群中大声说我不怕吃苦我是山区人爬山走路都很强听到这个15岁小伙子的豪言指导员决定带他一起走,151,16,"[6, 13, 12, 16, 6, 5, 13, 13, 4, 12, 11, 5, 5, 7, 13, 10]",[10],[[10]],"[[10, 10]]",但因但而但因因因但更但但但但当但
566,从濮阳县林业局退休后任宗玉便天天到路边拔草打扫卫生并自愿当起了小区公厕的所长义务担负起了打扫该厕所卫生的工作一干就是11年打扫卫生用的铁锹扫帚都是他自己掏钱买的这期间他从未拿过一分工钱曾经有居民看到他坚持干这又脏又累的活有些过意不去提意给他报酬他都婉言谢绝了遇到喝醉酒的人残疾人他都会主动送他们去厕所我很支持我老伴儿的行为帮助他人快乐自己任宗玉的妻子笑着说,178,16,"[10, 15, 13, 16, 7, 19, 12, 24, 6, 7, 10, 11, 11, 4, 4, 9]",[15],[[14]],"[[15, 14]]",因与但但但而但但就但当但但或更但
567,但汉斯一听到这些就显得很有醋意宋扬有了儿子汉斯也很开心从小就教他说英语他还会说西班牙语和德语经常到楼下小区内教孩子们英语武术节期间他还帮助做了不少翻译工作被评为先进工作者会议结束后市里组织所有参与者去旅游老人非常激动但上车之前导游说他年龄太大不能去大家都能看出汉斯很失落他就像老小孩儿爱吃醋,145,19,"[8, 7, 6, 6, 8, 11, 14, 5, 12, 8, 5, 12, 6, 5, 11, 6, 5, 7, 3]","[4, 13, 17]","[[3], [12], [15]]","[[4, 3], [13, 12], [17, 15]]",但但与而但但更而而因但由但但但但但但更但但与而但但就而而因当由而但但但但但总但但与但但但但而但因但由但但但但但但总
570,9月份胡东在电话里跟我聊天说心情不好自己以前得过两次表扬再得一次就能减刑但今年只有几个月了他怕自己得不了表扬减不了刑龙文照说胡东被监狱干警带到探视房间看到龙妈妈显得非常高兴他告诉龙妈妈上个月因为表现好鄂东监狱又给了他一个表扬这下就获得了9个月的减刑明年9月就能提前出狱了,135,18,"[3, 10, 5, 10, 8, 9, 9, 4, 4, 13, 5, 6, 6, 3, 5, 12, 12, 11]",[12],[[11]],"[[12, 11]]",由而就而但但但就如当当但当而但而但但
571,昨日上午9点40分许记者赶到事发现场杨辉的遗体已被毛毯覆盖父亲杨先生满脸悲伤地站在一旁杨先生告诉记者儿子今年才38岁1999年大学毕业后曾在北京广州等地从事动漫软件方面的工作,87,8,"[10, 8, 11, 14, 7, 8, 10, 19]",[4],[[3]],"[[4, 3]]",而当而而而而但但
572,昨日在吉林大学第一医院二部的烧伤外科的门外记者见到了孝顺儿媳的丈夫施先生他对于家中着火的事情悔恨不已要是不把油箱放在门口就算是家中起了电火妻子和母亲也会没事可现在妻子被烧伤了母亲也被烧伤了这一切都是我的错,102,10,"[2, 19, 15, 14, 10, 9, 9, 9, 7, 8]",[4],[[4]],"[[4, 4]]",如就当而但但而但而但
573,办案民警决定做梅某在京家人的工作促使其早日投案自首曹警官几番周折联系到梅某的丈夫尤先生几年前梅某在京经商期间与尤先生结婚婚后两人生活幸福并有了一个可爱的女儿尤先生称他和孩子许久见不到妻子都很着急也一直担心妻子一定全力配合尽快找到梅某,116,13,"[16, 9, 18, 3, 8, 6, 8, 10, 4, 15, 7, 6, 6]",[10],[[10]],"[[10, 10]]",但更但而而因但但但而但但但
574,尤先生被深深打动了每次和妻子联系时他总是把曹警官为家里所做的一切一五一十告诉梅某同时不停地说孩子想妈妈梅某想到自己许久出逃在外亏欠家里很多想到警察如此细致照顾其家人深受感动就这样在一个月前梅某电话里问丈夫能否告诉她曹警官的手机号她想和曹警官单独谈谈投案的事,128,12,"[9, 8, 23, 11, 12, 6, 13, 4, 3, 5, 20, 14]",[8],[[7]],"[[8, 7]]",而但但但但却但更但就当但
575,他们都是90后是大庆职业学院的学生他们的勤俭节约让同学们敬佩称赞也改变了人们以往对部分90后大学生花钱大手大脚以自我为中心的不良印象,66,5,"[7, 10, 7, 8, 34]",[4],[[3]],"[[4, 3]]",但就因更但
576,今年9月两人破镜重圆买房安家杨女士说上周10岁的儿子说想房东奶奶了周末去看奶奶拆迁后房东阿姨搬到百步亭和女儿一起住看到孩子阿姨特别高兴记者昨找到70岁的房东方大娥婆婆他的女儿和老伴都说婆婆一辈子都是个热心人,103,14,"[4, 6, 4, 4, 2, 13, 6, 3, 15, 4, 6, 16, 9, 11]",[11],[[10]],"[[11, 10]]",如当就但而但但因与当而而而但
577,11月30日收破烂的张女士开着电动三轮车载着儿子和侄子因为跟在一辆大货车后面视线被挡住转弯时与一辆运水泥板的货车迎面撞上张女士回忆说当时她与侄子被甩出很远坐在副驾驶位置的儿子却直接撞在了货车后面的横杠上起初她只看到侄子头上流血特别害怕侄子出事急忙照应着当时觉得咱是给别人看孩子可不敢有个闪失,145,13,"[6, 21, 11, 5, 17, 6, 11, 24, 12, 8, 5, 12, 7]",[10],[[10]],"[[10, 10]]",但因就当当但而而但但就但但
578,去年王德申请到了公租房贷款1万元买了一些好家具准备开开心心结婚过日子没想到女友离开了他这件事给王德的伤害极大他吃过老鼠药喝过敌敌畏开过煤气最终都被人救下来这次由于生意不好做孝顺的他觉得没有能力照顾聋哑妈妈心生愧疚我觉得自己无能所以我想解脱,119,16,"[2, 9, 12, 11, 3, 6, 3, 8, 15, 8, 2, 7, 16, 4, 7, 6]",[14],[[13]],"[[14, 13]]",而而因就却但就但与但但但但更但但
579,事发前4天是覃健28岁生日万红瞒着妻子花300多元网购了一块女式手表作为礼物覃健十分惊喜连睡觉都舍不得摘下如今这块在事故中留下明显划痕的手表戴在万红手上寄托着他对妻子深深的思念,88,10,"[5, 8, 6, 19, 6, 9, 2, 15, 6, 12]",[5],[[4]],"[[5, 4]]",但就当便而却而而就却
580,崔女士说她又打电话给孩子的班主任但号码记错了一位没打通最后她拨通了学校招生办电话值班人员说让她八点半上班后再打担心女儿出事崔女士赶紧买车票往西安赶12月4日中午12时到西安后在去学校的公交上她接到学校的电话女儿出事了,108,13,"[4, 12, 8, 3, 13, 5, 10, 6, 12, 14, 8, 8, 5]",[8],[[8]],"[[8, 8]]",但但但但但但就更而但就当而
581,扶起老人后男子没有一走了之他见阿婆行动不便就让她坐上自己的电瓶车一起送孩子去上学随后又继续送阿婆回家我怕耽误他上班几次谢绝了他的好意可他执意要送让我很感动送医垫付检查费用但事情并没有就此结束,95,11,"[5, 8, 8, 11, 8, 10, 7, 9, 6, 5, 18]",[10],[[9]],"[[10, 9]]",当但但但就但但但但更因
582,上午10时30分许老人的女儿终于赶到医院得知整个事件经过后她非常感激除了归还男子垫付的检查费用外还拿出500元酬谢对方但被男子婉言谢绝,67,7,"[9, 11, 9, 5, 14, 11, 8]",[4],[[3]],"[[4, 3]]",但但当但但但但
583,4日记者与党培取得联系得知2000年她经人介绍与当地一名农民结婚成家一家人生活在唐山滦县油榨镇王官营二村结婚后党培开了一家党培商店来维持生计她的丈夫田书旺是一名兽医也在利用自己的技术谋生一家人生活还算富足但目前最让党培牵肠挂肚的还是她亲生的父母,122,12,"[2, 9, 7, 16, 18, 3, 15, 12, 11, 9, 12, 8]",[11],[[12]],"[[11, 12]]",如当但而但但由而但但但但
584,欧阳占仲刚把女婴抱出厕所就发现不远处有名男子正盯着他看我跟他对视了一下他转身就跑了我追了半天也没追上总觉得他可能是党培的爸爸不论如何也不能把亲生闺女给抛弃了啊时隔33年欧阳占仲在接受记者采访时仍对此感到痛心在确定党培是弃婴后欧阳占仲将她送到了当地民政部门设立的孤儿院里,134,13,"[12, 15, 8, 6, 9, 12, 4, 13, 5, 12, 7, 9, 22]",[11],[[8]],"[[11, 8]]",而但但但但但但但但但但但但
585,党培告诉记者从小到大虽说身边的叔叔阿姨对她都很好但每当她看到身边的小伙伴都有父母陪伴心里就特别难受党培说她曾对父母心存怨恨也有人开玩笑让她认欧阳占仲当爸爸可每每说到这个话题她就变得一言不发心里一股子难受,101,11,"[6, 4, 14, 18, 7, 3, 9, 16, 9, 8, 7]","[5, 7]","[[4], [7]]","[[5, 4], [7, 7]]",但但但但但但但但但但但但但但但但苟但但但但但
