key,conn,conn_head_sem_class,frequency,conn_total_count
meanwhile+Comparison.Concession.Contra-expectation,meanwhile,Comparison.Concession.Contra-expectation,1,655
once+Contingency.Cause.Result,once,Contingency.Cause.Result,1,95
plus+Contingency.Cause.Reason,plus,Contingency.Cause.Reason,1,8
if+Contingency.Cause.Result,if,Contingency.Cause.Result,1,1234
when+Comparison.Concession.Contra-expectation,when,Comparison.Concession.Contra-expectation,1,1215
then+Expansion.Alternative,then,Expansion.Alternative,1,760
otherwise+Expansion.Alternative.Conjunctive,otherwise,Expansion.Alternative.Conjunctive,1,24
when+Contingency.Pragmatic condition.Relevance,when,Contingency.Pragmatic condition.Relevance,1,1215
meanwhile+Expansion,meanwhile,Expansion,3,655
besides+Expansion.Alternative.Conjunctive,besides,Expansion.Alternative.Conjunctive,1,37
subsequently+Expansion,subsequently,Expansion,2,50
as+Comparison,as,Comparison,2,1370
lest+Expansion.Alternative.Disjunctive,lest,Expansion.Alternative.Disjunctive,1,2
and+Contingency.Condition.General,and,Contingency.Condition.General,1,4477
but+Contingency.Condition.Hypothetical,but,Contingency.Condition.Hypothetical,1,4102
nonetheless+Comparison.Contrast.Juxtaposition,nonetheless,Comparison.Contrast.Juxtaposition,3,34
or+Expansion.Restatement.Specification,or,Expansion.Restatement.Specification,1,111
so+Contingency.Pragmatic cause.Justification,so,Contingency.Pragmatic cause.Justification,1,1079
but+Expansion.Alternative.Conjunctive,but,Expansion.Alternative.Conjunctive,1,4102
as+Comparison.Concession.Contra-expectation,as,Comparison.Concession.Contra-expectation,1,1370
instead+Comparison.Contrast.Opposition,instead,Comparison.Contrast.Opposition,1,253
finally+Expansion.Restatement,finally,Expansion.Restatement,1,51
since+Temporal.Synchrony,since,Temporal.Synchrony,1,415
besides+Comparison.Contrast.Juxtaposition,besides,Comparison.Contrast.Juxtaposition,1,37
if+Comparison.Contrast,if,Comparison.Contrast,1,1234
so+Contingency.Pragmatic condition.Relevance,so,Contingency.Pragmatic condition.Relevance,1,1079
but+Expansion.Restatement,but,Expansion.Restatement,1,4102
as+Temporal,as,Temporal,1,1370
so+Expansion.Restatement,so,Expansion.Restatement,1,1079
second+Expansion.List,second,Expansion.List,2,2
third+Expansion.List,third,Expansion.List,1,1
nevertheless+Comparison.Contrast.Opposition,nevertheless,Comparison.Contrast.Opposition,1,72
still+Temporal.Asynchronous.Precedence,still,Temporal.Asynchronous.Precedence,2,203
thus+Expansion.Restatement.Generalization,thus,Expansion.Restatement.Generalization,1,297
instead+Expansion.Restatement.Specification,instead,Expansion.Restatement.Specification,1,253
then+Contingency.Condition.Unreal present,then,Contingency.Condition.Unreal present,1,760
overall+Contingency.Cause.Result,overall,Contingency.Cause.Result,1,43
while+Expansion,while,Expansion,1,1550
eventually+Contingency.Cause.Result,eventually,Contingency.Cause.Result,1,6
as+Comparison.Contrast.Juxtaposition,as,Comparison.Contrast.Juxtaposition,2,1370
if+Temporal.Synchrony,if,Temporal.Synchrony,1,1234
nevertheless+Comparison.Pragmatic concession,nevertheless,Comparison.Pragmatic concession,5,72
whereas+Expansion.List,whereas,Expansion.List,1,82
after+Expansion.Restatement.Specification,after,Expansion.Restatement.Specification,1,651
when+Contingency.Pragmatic cause.Justification,when,Contingency.Pragmatic cause.Justification,1,1215
